Code,Description,Default_Translation (en-en),Target_Translation (de-de),Has_Translation
I18N_REGION_ID_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Region ID cannot exceed 50 characters,Region ID cannot exceed 50 characters,Die Regions-ID darf 50 Zeichen nicht überschreiten,Yes
I18N_REGION_ID_IS_REQUIRED,I18NCode for Region ID is required,Region ID is required,Regions-ID ist erforderlich,Yes
I18N_REGION_LAST_MONTH,I18NCode for Region Last Month Page,Region Last Month,Region letzten Monat,Yes
I18N_REGION_RETENTION_GROWTH,I18NCode for Region Retention Growth Page Title,Retention Growth,Bindungswachstum,Yes
I18N_REGION_SCHEDULES,I18NCode for Region Schedules Title Page,Scheduled Operations,Geplante Operationen,Yes
I18N_REGION_SETUP,I18NCode for Region Setup,Region Setup,Regionseinrichtung,Yes
I18N_REGION_SIZE,I18NCode for Region Size ,Region Size,Regionsgröße,Yes
I18N_REGIONAL,I18NCode for Regional,Regional,Regional,Yes
I18N_REGIONAL_ADMINISTRATION,I18NCode for Regional Administration,Regional Administration,Regionalverwaltung,Yes
I18N_REGIONAL_COUNT,I18NCode for Regional Count,Regional Count,Regionale Zählung,Yes
I18N_REGIONAL_COUNT_CONTACT_SPHERE,i18NCode for Regional Count Contact Sphere,Regional Count Contact Sphere,Regionaler Zählkontaktbereich,Yes
I18N_REGIONAL_INFORMATION,I18NCode for regional information,Regional information,Regionale Informationen,Yes
I18N_REGIONAL_OPTION,I18NCode for Regional Option,Regional Option,Regionale Option,Yes
I18N_REGIONS,Region,Regions,Regionen,Yes
I18N_REGIONS__CHAPTERS__MEMBERS__AND_TEAMS,"I18NCode for Regions, Chapters, Members, and Teams","Regions, Chapters, Members and Teams","Regionen, Kapitel, Mitglieder und Teams",Yes
I18N_REGIONS_EVOLUTION,I18nCode for Regions Evolution,Regions Evolution,"Regionen, Kapitel, Mitglieder und Teams",Yes
I18N_REGIONS_SUBSTITLE,I18NCode for Regions,Regions,Regionen,Yes
I18N_REGISTER,I18NCode for Register ,Register,Registrieren,Yes
I18N_REGISTER_NEW_USER,I18NCode for Register New User,Register New User,Registrieren Sie einen neuen Benutzer,Yes
I18N_REGISTER_ONLY_FOR_R2Y_USERS,I18NCode for Register Only For R2Y Users,This register is only for Reporting2You users,Dieses Register ist nur für Reporting2You-Benutzer,Yes
I18N_RELOAD_CHART,I18NCode for the Reload Chart Button,Reload Chart,Diagramm neu laden,Yes
I18N_REMOVE_CONFIRMATION_BUTTON,I18NCode for Remove confirmation Button,"Yes, remove it!","Ja, entferne es!",Yes
I18N_REMOVE_FROM_THE_GROUP,I18NCode for Remove from the group,Remove from the group,Aus der Gruppe entfernen,Yes
I18N_REMOVE_IMAGE,I18NCode for Remove image,Remove image,Bild entfernen,Yes
I18N_RENEW,I18NCode for Renew,Renew at,Erneuern um,Yes
I18N_RENEW_ABREVIATION,I18NCode for Renew Abreviation,Renew,Erneuern,Yes
I18N_RENEW_SINGULAR,I18NCode for Renew word in singular,Renew,Erneuern,Yes
I18N_RENEWALS,I18NCode for Renewals,Renewals,Erneuerungen,Yes
I18N_RENEWALS_IS_REQUIRED,I18NCode for Renewals is required,Renewals is required,Erneuerungen sind erforderlich,Yes
I18N_RENEWS,I18NCode for Renews,Renew,Erneuern,Yes
I18N_REPORT,I18NCode for Report,Report,Bericht,Yes
I18N_REPORT_DATE,I18NCode for Report Date in Datatables Pdf Export,Report date,Meldedatum,Yes
I18N_REPORT_NAME,I18NCode for Report Name,Report Name,Berichtsname,Yes
I18N_REPORTS,I18NCode for Reports,Reports,Berichte,Yes
I18N_REQUEST_NEW_TOKEN,I18NCode for Request New Token,Request New Token,Fordern Sie ein neues Token an,Yes
I18N_REQUIRED_CODE,Required Code,I18n Codes names is required to be unique.,I18n-Codenamen müssen eindeutig sein.,Yes
I18N_RES,I18NCode for Res,Res.,Res.,Yes
I18N_RESET,I18NCode for Reset,Reset,Zurücksetzen,Yes
I18N_RESIZE_CHAPTER_IMAGE_,I18NCode for Resize Chapter Image ,Resize chapter image,Größe des Kapitelbilds ändern,Yes
I18N_RESIZE_PROFILE_PICTURE,I18NCode for Resize profile picture,Resize profile picture,Größe des Profilbilds ändern,Yes
I18N_RESPONDING_TO,"I18NCode for Responding to
",Responding to,Reagieren auf,Yes
I18N_RESULT,I18NCode for Result,Result,Ergebnis,Yes
I18N_RET,I18NCode for Ret,Ret.,Ret.,Yes
I18N_RET_1Y,I18NCode for Ret 1Y,Ret.1Y,Ruhestand 1 Jahr,Yes
I18N_RETAIN,I18NCode for Retain,Retain,Zurückbehalten,Yes
I18N_RETENTION,Retention,Retention,Zurückbehaltung,Yes
I18N_RETENTION_IS_REQUIRED,I18NCode for Retention is required,Retention is required,Aufbewahrung ist erforderlich,Yes
I18N_RETURN_TO_LIST,I18NCode for Return to list,Return to list,Zurück zur Liste,Yes
I18N_RETURN_TO_LOGIN,I18NCode for Return to Login,Return to Login,Zurück zur Anmeldung,Yes
I18N_RETURN_TO_PREVIOUS_PAGE,I18NCode for Back to previous page,Return to previous page,Zurück zur vorherigen Seite,Yes
I18N_RG,I18NCode for RG,RG,RG,Yes
I18N_ROLE,I18NCode for Role,Role,Rolle,Yes
I18N_RR,I18NCode for RR,RR,RR,Yes
I18N_S,I18NCode for S,S,S,Yes
I18N_SAVE,I18NCode for Save Button,Save,Speichern,Yes
I18N_SAVED_FILES,I18NCode for Saved Files,Saved Files,Gespeicherte Dateien,Yes
I18N_SCHEDULED,I18NCode to scheduled,Scheduled,Geplant,Yes
I18N_SCHEDULED_DATE,I18NCode for Scheduled Date in Manage Tasks,Scheduled Date,Geplantes Datum,Yes
I18N_SEARCH,I18NCode for Search,Search,Suchen,Yes
I18N_SEARCH_BY,I18NCode for Search By label,Search by,Suchen nach,Yes
I18N_SEARCH_BY_PROFESSION,I18NCode for Search By Profession,Search by Profession,Suche nach Beruf,Yes
I18N_SEARCH_CHAPTER,I18NCode for Search Chapter,Search Chapter,Kapitel durchsuchen,Yes
I18N_SEARCH_CODEI18N,,Search Code I18N,Suchcode I18N,Yes
I18N_SEARCH_CONTEXT,I18NCode for search context bar,Search context,Suchkontext,Yes
I18N_SEARCH_COUNTRY,I18nCode for search country,Search Country,Land suchen,Yes
I18N_SEARCH_COUNTRY_LASTMONTH,I18NCode for Search Country Last Month,,,Yes
I18N_SEARCH_DIRECTOR,I18NCode for Search Director Bar,Search Director,Suchdirektor,Yes
I18N_SEARCH_FOR_A_CONTACT_TO_START_A_CONVERSATION_,I18NCode for Search for a contact to start a conversation.,Find a contact to start a conversation. (Minimum 3 characters),"Finden Sie einen Kontakt, um ein Gespräch zu beginnen.",Yes
I18N_SEARCH_LANGUAGE,I18NCode for search language bar,Search language,Suchsprache,Yes
I18N_SEARCH_MEMBER,I18NCode for Search Member/Chapter,Search Member,Mitglied suchen,Yes
I18N_SEARCH_MODULE,I18NCode for search module bar,Search module,Suchmodul,Yes
I18N_SEARCH_PROFILES,I18NCode for Search in Profiles Page,Search Profiles,Suchprofile,Yes
I18N_SEARCH_REGION,I18NCode for search region bar,Search Region,Suchregion,Yes
I18N_SEARCH_TRANSLATION,I18NCode for search translation bar,Search translation,Suchübersetzung,Yes
I18N_SECONDS,I18NCode for seconds,seconds,Sekunden,Yes
I18N_SEE_ALL_CONVERSATIONS,"I18NCode for See all conversations
",See all conversations,Alle Gespräche anzeigen,Yes
I18N_SELECT_A_CHAT_OR_CREATE_A_NEW_ONE,I18NCode for Select a chat or create a new one,Select a chat or create a new one,Wählen Sie einen Chat aus oder erstellen Sie einen neuen,Yes
I18N_SELECT_A_LANGUAGE,I18NCode for Select a language,Select a language,Wählen Sie eine Sprache aus,Yes
I18N_SELECT_AN_IMAGE_FIRST,I18NCode for Select an image First,Select an image first.,Wählen Sie zunächst ein Bild aus.,Yes
I18N_SELECT_CHAPTER,I18NCode for Select Chapter,Select a Chapter,Wählen Sie ein Kapitel aus,Yes
I18N_SELECT_DIRECTOR,I18NCode for Select Director,Select a Director,Wählen Sie einen Direktor aus,Yes
I18N_SELECT_IMAGE,I18NCode for Select Image,Select image,Bild auswählen,Yes
I18N_SELECT_JUST_ONE_CONTACT,"I18NCode for Select just one contact
",Select just one contact,Wählen Sie nur einen Kontakt aus,Yes
I18N_SELECT_KPI,I18NCode for Select Kpi,Select KPI,Wählen Sie KPI aus,Yes
I18N_SEND,I18NCode for Send,Send,Schicken,Yes
I18N_SEND_A_PRIVATE_MESSAGE_TO_MULTIPLE_RECIPIENTS_SIMULTANEOUSLY_WITH_THE_SAME_CONTENT,I18NCode for Send a private message to multiple recipients simultaneously with the same content.,Send a private message to multiple users simultaneously with the same content.,Senden Sie gleichzeitig eine private Nachricht mit demselben Inhalt an mehrere Benutzer.,Yes
I18N_SEND_BROADCAST,I18NCode for Send Broadcast,Send broadcast,Sendung senden,Yes
I18N_SEND_EMAILS,I18NCode for Send Emails,Send Emails,E-Mails senden,Yes
I18N_SENDING,I18NCode for Sending,Sending...,Senden...,Yes
I18N_SEPTEMBER,I18NCode for September,September,September,Yes
I18N_SETUP,I18NCode for Setup,Setup,Aufstellen,Yes
I18N_SETUPNEWPASSWORD,I18NCode for SetupNewPassword,Setup New Password,Neues Passwort einrichten,Yes
I18N_SHARING_BUTTON_COOKIES,"I18NCode for Sharing button cookies
",Sharing button cookies,Cookies für die Schaltfläche „Teilen“,Yes
I18N_SHORT_NAME,I18NCode for the short name	,ShortName,Kurzname,Yes
I18N_SHOW_ALL,I18NCode for Show All,Show all contact sphere,Alle Kontaktkugeln anzeigen,Yes
I18N_SHOW_MEMBER_ON_THEIR,I18NCode for Show Member On Their,Show Member On Their,Mitglied auf ihrem anzeigen,Yes
I18N_SHOW_MEMBERS_RENEWING_OVER_THE_NEXT,I18NCode for Show Members Renewing Over The Next,Show Members Renewing Over The Next,"Zeigen Sie Mitglieder an, die sich im nächsten Jahr erneuern",Yes
I18N_SHOW_ONLY_CE,I18NCode for Show Only CE,Show only chapter contacts sphere ,Nur Kapitelkontakte anzeigen,Yes
I18N_SIGN_IN,I18NCode for Sign in,Sign In,Anmelden,Yes
I18N_SIGN_OUT,I18NCode for Sign Out,Sign out,Abmelden,Yes
I18N_SIGN_UP,I18NCode for Sign Up,Sign Up,Melden Sie sich an,Yes
I18N_SINCE,I18NCode for Since,Since,Seit,Yes
I18N_SIZE_GRAPH,I18NCode for Size on Graph,Size,Größe,Yes
I18N_SIZE_IS_REQUIRED,I18NCode for Size is required,Size is required,Größe ist erforderlich,Yes
I18N_SOURCE,I18NCode for Source,Source,Quelle,Yes
I18N_SPONS,I18NCode for Spons,Spons,Sponsoren,Yes
I18N_SPONSOR_MODAL_TITTLE,I18NCode for SPONSOR Modal TIttle,List of Sponsored by,Liste der Gesponserten von,Yes
I18N_SPONSOR_SINCE,I18NCode for Sponsor since,Sponsor since,Sponsor seitdem,Yes
I18N_SPONSORED,I18NCode for Sponsored,Sponsored,Gesponsert,Yes
I18N_SPONSORED_CHAPTER_,I18NCode for Sponsored Chapter	,Sponsored Chapter,Gesponsertes Kapitel,Yes
I18N_SPONSORED_REGION_,I18NCode for Sponsored Region,Sponsored Region,Gesponserte Region,Yes
I18N_START_ACTIVE_CHAPTERS,I18NCode for Start Active Chapters,Start Active Chapter,Aktives Kapitel starten,Yes
I18N_START_ACTIVE_MEMBERS,I18NCode for Start Active Members,Start Active Members,Starten Sie aktive Mitglieder,Yes
I18N_START_DATE,I18NCode for Start Date,Start Date,Startdatum,Yes
I18N_START_DATE_IS_REQUIRED,I18NCode for Start date is required,Start date é obrigatória,Das Startdatum ist obligatorisch,Yes
I18N_START_MONITORING,I18NCode for Start Monitoring,Start Monitoring,Starten Sie die Überwachung,Yes
I18N_START_RETENTION,I18NCode for Start Retention,Start Retention,Beginnen Sie mit der Aufbewahrung,Yes
I18N_START_VALUES,I18NCode for Start Values,Current Values,Aktuelle Werte,Yes
I18N_STARTS_PROCESS,"I18NCode for ""Starts Process""",starts process,startet den Prozess,Yes
I18N_STATUS,I18NCode for status label,Status,Status,Yes
I18N_STAY_ACTIVE,I18NCode for Stay Active,Stay active,Bleiben Sie aktiv,Yes
I18N_SUBJECT,I18NCode for Subject,Subject,Thema,Yes
I18N_SUBMIT,I18NCode for the submit button,Submit,Einreichen,Yes
I18N_SUBMIT_CHAT_MODAL,I18NCode for Submit Chat Modal,You just created a chat.,Sie haben gerade einen Chat erstellt.,Yes
I18N_SUBMIT_CONFIRM_BUTTON,I18NCode for Submit Confirm Button,"Ok, got it!","Ok, verstanden!",Yes
I18N_SUBMIT_GOALS_WARNING_TEXT,I18NCode for Submit Goals Warning Text,Unable to create goal because one already exists in that date range,"Ziel kann nicht erstellt werden, da in diesem Zeitraum bereits eines vorhanden ist",Yes
I18N_SUBMIT_MODAL,I18NCode for Submit Modal Text,Form has been successfully submitted!,Formular wurde erfolgreich übermittelt!,Yes
I18N_SUBMIT_WARNING_TEXT,I18NCode for Submit Warning Text,"Sorry, looks like there are some errors detected, please try again.","Es tut uns leid, es wurden offenbar Fehler festgestellt. Bitte versuchen Sie es erneut.",Yes
I18N_SUBSTITUTIONS,I18NCode for SUBSTITUTIONS,Substitutions,Auswechslungen,Yes
I18N_SUCCESS,I18NCode for Success,Success,Erfolg,Yes
I18N_SUSPENDED,I18NCode for Suspended,Suspended,Ausgesetzt,Yes
I18N_SUSPENDED_CHAPTERS,I18NCode for Suspended Chapters,Suspended Chapters,Angehaltene Kapitel,Yes
I18N_SUSPENDED_MEMBERS,I18NCode for Suspended Members,Suspended Members,Suspendierte Mitglieder,Yes
I18N_SUSPENDED_MULTI,I18NCode for Suspended in Multi,Suspended,Ausgesetzt,Yes
I18N_SWITCH_TO,I18NCode for SWITCH TO,Switch to ,Wechseln Sie zu,Yes
I18N_SYSTEM_ERROR,I18NCode for System Error,System Error,Systemfehler,Yes
I18N_TASK,I18NCode for Task,Tasks,Aufgaben,Yes
I18N_TASK_TYPE,I18NCode for Task Type,Task Type,Aufgabentyp,Yes
I18N_TASKS_FOR_FALLING_MEMBERS,I18NCode for Tasks for Falling Members,Tasks for Falling Members,Aufgaben für ausscheidende Mitglieder,Yes
I18N_TASKS_FOR_FALLING_MEMBERS_DESCRIPTION,I18NCode for Tasks for Falling Members Description,Activate tasks for falling members,Aktivieren Sie Aufgaben für fallende Mitglieder,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING,I18NCode for Tasks for Members Renewing,Tasks for Members Renewing,Aufgaben für die Erneuerung von Mitgliedern,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING_DESCRIPTION,I18NCode for Tasks For Members Renewing Description,Activate tasks for members renewal,Aktivieren Sie Aufgaben zur Mitgliedererneuerung,Yes
I18N_TASKSTATUS,I18NCode for #TaskStatus in edit task modal,Task Status,Aktivieren Sie Aufgaben zur Mitgliedererneuerung,Yes
I18N_TEAM,I18NCode for Team,Team,Team,Yes
I18N_TEAM_INFORMATION,I18NCode for Team information,Team Information,Teaminformationen,Yes
I18N_TEAM_MEMBER,I18NCode for Team Member,Team Member,Teammitglied,Yes
I18N_TEAM_MEMBERS,I18NCode for Team Members,Team Members,Teammitglieder,Yes
I18N_TEAM_WORK,I18NCode for Team Work,Team Work,Teamarbeit,Yes
I18N_TEAMS,I18NCode for Teams,Teams,Mannschaften,Yes
I18N_TELEPHONE_CONTACT,I18NCode for Telephone Contact,Telephone Contact,Telefonkontakt,Yes
I18N_TEST,I18NCode for Test,Test,Prüfen,Yes
I18N_TESTIMONY,I18NCode for Testimony,Testimony,Zeugnis,Yes
I18N_THAN_PREVIOUS_MONTH,I18NCode for Than Previous Month,Than previous Month,Als im Vormonat,Yes
I18N_THANK_YOU_FOR_CLOSING_BUSINESS,I18NCode for THANK YOU FOR CLOSING BUSINESS,Thank you for closing business,Vielen Dank für den Geschäftsabschluss,Yes
I18N_THE_CHAT_WAS_NOT_DELETED_,I18NCode for The chat was not deleted!,The chat was not deleted!,Der Chat wurde nicht gelöscht!,Yes
I18N_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,"I18NCode for The cookies necessary for navigation on the site
",The cookies necessary for navigation on the site,Die für die Navigation auf der Website erforderlichen Cookies,Yes
I18N_THE_EXPIRATION_DATE_AND_TIME_MUST_BE_LATER_THAN_THE_CURRENT_DATE_,I18NCode for The expiration date and time must be later than the current date.,The expiration date and time must be later than the current date.,Das Ablaufdatum und die Ablaufzeit müssen nach dem aktuellen Datum liegen.,Yes
I18N_THE_POLL_MUST_HAVE_AT_LEAST_2_VALID_OPTIONS_,I18NCode for The poll must have at least 2 valid options.,The poll must have at least 2 valid options.,Die Umfrage muss mindestens 2 gültige Optionen haben.,Yes
I18N_THE_QUESTION_IS_MANDATORY,I18NCode for The question is mandatory,The question is mandatory.,Die Frage ist obligatorisch.,Yes
I18N_THE_REGION,I18NCode for The Region,The Region,Die Region,Yes
I18N_THE_REGION_IN_NUMBERS,I18NCode for The Region in Numbers,The Region in Numbers,Die Region in Zahlen,Yes
I18N_THE_TEAM,I18NCode for The Team,The Team,Das Team,Yes
I18N_THE_TOKEN_PROVIDED_IS_INVALID_OR_HAS_EXPIRED,I18NCode for Invalid Or Expired Token,The token provided is invalid or has expired,Das bereitgestellte Token ist ungültig oder abgelaufen,Yes
I18N_THERE_ARE_NO_USERS_FROM_THIS_REGION,I18NCode for There are no users from this region,There are no users from this region,Es gibt keine Benutzer aus dieser Region,Yes
I18N_THERE_IS_NO_DATA_FOR_THE_CURRENT_PROFILE,I18NCode for There is no data for the current profile,There is no data for the current profile,Für das aktuelle Profil liegen keine Daten vor,Yes
I18N_TILL,I18NCode for Till,Till,Bis,Yes
I18N_TIME,I18NCode for Time in Kpi Correlation Page,Time,Zeit,Yes
I18N_TIME_S_UP,I18NCode for Time's Up,Time's Up!,Die Zeit ist abgelaufen!,Yes
I18N_TO,I18NCode from To,To,Zu,Yes
I18N_TO_BELOW,"I18NCode for ""To Below""",To below,Nach unten,Yes
I18N_TO_GREEN,I18NCode for To Green,To Green,Zu Grün,Yes
I18N_TO_GREEN_LABEL_INFO,I18NCode for To Green Label Info,month(s) to reach Green,"Monat(e), um Grün zu erreichen",Yes
I18N_TO_RED,I18NCode for To Red,To Red,Zu Rot,Yes
I18N_TO_SCHEDULE,I18NCode To schedule,To Schedule,Zum Planen,Yes
I18N_TO_SHOW,I18NCode for To Show,to display.,anzuzeigen.,Yes
I18N_TO_YELLOW,I18NCode for To Yellow,To Yellow,Zu Gelb,Yes
I18N_TOKEN_EXPIRED_MESSAGE,I18NCode for Token Expired Message,"<strong>Token Expired!</strong> Your activation Token has expired.
<br/>
Please request a new one to continue.",<strong>Token abgelaufen!</strong> Ihr Aktivierungstoken ist abgelaufen.,Yes
I18N_TOOLS_TO_IMPROVE_PERFORMANCE,I18NCode for Tools to improve performance,Tools to improve performance,Tools zur Leistungssteigerung,Yes
I18N_TOP_3,I18NCode for Top3,Top 3,Top 3,Yes
I18N_TOTAL,I18NCode for Total,Total,Gesamt,Yes
I18N_TOTAL_GROUPS,I18NCode for Total Groups,Total,Gesamt,Yes
I18N_TOTAL_MEMBERS,I18NCode for Total Members,Total members,Gesamtzahl der Mitglieder,Yes
I18N_TOTAL_NET_GROWTH,I18NCode for Total Net Growth,Total Net Growth,Gesamtes Nettowachstum,Yes
I18N_TOTAL_SPONSORS,I18NCode for Total Sponsors,Total Sponsors,Gesamtzahl der Sponsoren,Yes
I18N_TOTAL_TEAMS,I18NCode for Total Teams,Total teams,Gesamtzahl der Teams,Yes
I18N_TOTAL_TYFCB,I18NCode for Total TYFCB,Total,Gesamt,Yes
I18N_TRADUCAOTESTE,TraducaoTeste,teste,teste,Yes
I18N_TRAFFIC_LIGHT_SYSTEM_LEADERSHIP_DESCRIPTION,I18NCode for Traffic Light System Leadership Description,Traffic light system for leadership,Ampelsystem für Führung,Yes
I18N_TRAFFIC_LIGHTS,I18NCode for Traffic Lights,Traffic Lights,Ampel,Yes
I18N_TRAFFIC_LIGHTS_CHAPTERS,I18NCode for Traffic Lights Chapters,Traffic Ligths / Chapters,Ampeln / Kapitel,Yes
I18N_TRAFFIC_LIGHTS_COUNTRY_,I18NCode for TRAFFIC LIGHTS Country	,Traffic Lights Country,Ampelland,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION,I18NCode for Traffic Lights Evolution,Traffic Lights Evolution,Ampelland,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_COUNTRY,I18NCode for Traffic Lights Evolution Country,Traffic Lights Evolution Country,Ampel-Entwicklungsland,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_REGION,I18NCode for Traffic Lights Evolution Region Menu,Traffic Lights Evolution Region,Ampel-Entwicklungsregion,Yes
I18N_TRAFFIC_LIGHTS_MEMBERS,I18NCode for Traffic Lights Members,Traffic Lights / Members,Ampeln / Mitglieder,Yes
I18N_TRAFFIC_LIGHTS_MULTIREGION,I18NCode for Traffic Lights MultiRegion,Traffic Lights MultiRegion,Ampeln Multiregion,Yes
I18N_TRAFFIC_LIGHTS_REGION,I18NCode for Traffic Lights Region,Traffic Lights Region,Ampelregion,Yes
I18N_TRAINING_ATTENDANCE,I18NCode for Training Attendance Chart,Training Attendance,Schulungsteilnahme,Yes
I18N_TRANSLATED,I18NCode for Translated,Translated,Übersetzt,Yes
I18N_TRANSLATION,I18NCode for Translation,Translation,Übersetzung,Yes
I18N_TRANSLATION_INFORMATION_FOR,I18NCode for Translation Information For,Translation information for,Übersetzungsinformationen für,Yes
I18N_TRANSLATIONS,I18NCodes for translations,Translations,Übersetzungen,Yes
I18N_TRANSLATIONS_DESCRIPTION,I18NCode for translations description,Description,Beschreibung,Yes
I18N_TRY_AGAIN,I18NCode for Try Again,Try again,Versuchen Sie es erneut,Yes
I18N_TYFCB,Thank you for closing business,TYFCB,TYFCB,Yes
I18N_TYFCB_PER_MEMBER,I18NCode for TYFCB per Member,Per Member,Pro Mitglied,Yes
I18N_TYFCB_TOTAL,I18NCode for TYFCB total 12 meses,Total (12 months),Pro Mitglied,Yes
I18N_TYPE,I18NCode for Type,Type,Typ,Yes
I18N_TYPE_OF_CONVERSATION,I18NCode for type of conversation,Chat type,Chat-Typ,Yes
I18N_TYPES_OF_COOKIES_USED,I18NCode for Types of cookies used,Types of cookies used,Arten der verwendeten Cookies,Yes
I18N_UNABLE_TO_PROCESS_YOUR_REQUEST,I18NCode for Unable To Process Your Request,Unable to process your request,Ihre Anfrage konnte nicht bearbeitet werden,Yes
I18N_UP,I18NCode for Up,Up,Hoch,Yes
I18N_UPCOMING_RENEWALS,I18NCode for Upcoming Renewels page,Upcomming Renewals,Bevorstehende Erneuerungen,Yes
I18N_UPDATE,I18NCode update label header modal,Update,Aktualisieren,Yes
I18N_UPDATE_CONTEXT,Update context label header modal	,Update ,Aktualisieren,Yes
I18N_UPDATE_DATE_RANGE,"I18NCode for Update date range
",Update Date Range,Datumsbereich aktualisieren,Yes
I18N_UPDATE_LANGUAGE,Update languagelabel header modal,Update,Aktualisieren,Yes
I18N_UPDATE_MECHANISM,I18NCode for Update Mechanism,Update Mechanism,Update-Mechanismus,Yes
I18N_UPDATE_MODULE,Update module label header modal	,Update,Aktualisieren,Yes
I18N_UPDATE_TRANSLATIONS,Update translations label header modal,Update,Aktualisieren,Yes
I18N_UPLOAD,I18NCode for Upload,Upload,Hochladen,Yes
I18N_UPLOAD_FILE_ERROR,I18NCode for Upload File Error in dropzone,File size greater than 5 MB,Dateigröße größer als 5 MB,Yes
I18N_UPLOAD_FILES_SIZE,I18NCode for Upload Files Size label,Upload up to 2 files,Laden Sie bis zu 2 Dateien hoch,Yes
I18N_USAGES,I18NCode for Usages,Usages,Laden Sie bis zu 2 Dateien hoch,Yes
I18N_USE_8_OR_MORE_CHARACTERS_WITH_A_MIX_OF_LETTERS__NUMBERS___SYMBOLS_,"I18NCode for Use 8 or more characters with a mix of letters, numbers & symbols.
","Use 8 or more characters with a mix of letters, numbers & symbols.","Verwenden Sie 8 oder mehr Zeichen mit einer Mischung aus Buchstaben, Zahlen und Symbolen.",Yes
I18N_USER,I18NCode for User,User,Benutzer,Yes
I18N_USER_CREATED_SUCCESSFULLY,I18NCode for User Created Successfully,User created successfully! Please check your email to complete registration.,Benutzer erfolgreich erstellt!,Yes
I18N_USER_DOES_NOT_EXIST,I18NCode for User Does Not Exist,User does not exist,Benutzer existiert nicht,Yes
I18N_USER_EMAIL_NOT_FOUND,I18NCode for User/Email not found,User/Email not found,Benutzer/E-Mail nicht gefunden,Yes
I18N_USER_PROFILE,I18NCode for User Profile,User Profile,Benutzerprofil,Yes
I18N_USERNAME,I18NCode for UserName,Username,Benutzername,Yes
I18N_USERS,I18NCode for Users,Users,Benutzer,Yes
I18N_VALUE,I18NCode for Value,Value,Wert,Yes
I18N_VIS_W,I18NCode for VisW,Vis/W,Vis/W,Yes
I18N_VISI,I18NCode for Visi,Visi.,Visi.,Yes
I18N_VISION,I18NCode for Vision,Vision,Vision,Yes
I18N_VISITORS,I18NCode for Visitors,Visitors,Besucher,Yes
I18N_VISITS_12_MONTHS,I18NCode for Visits (12 months),Visitors (12 month),Besucher (12 Monate),Yes
I18N_VISITS_IS_REQUIRED,I18NCode for Visits is required,Visits is required,Besuche sind erforderlich,Yes
I18N_VISITS_NOT_QUALIFIED,I18NCode for Visits not qualified,Visits not Qualified,Besuche nicht qualifiziert,Yes
I18N_VISITS_PER_WEEK__12_MONTHS_,I18NCode for Visits per Week (12 months),Visitors per Week (12 month),Besucher pro Woche (12 Monate),Yes
I18N_VISNQ,I18NCode for VisNQ,VISNQ,VISNQ,Yes
I18N_WARNING,Warning!,Warning!,Warnung!,Yes
I18N_WARNING_ADD_TEAM,I18NCode for Warning Add team,You are adding a new team to the game.,Sie fügen dem Spiel ein neues Team hinzu.,Yes
I18N_WARNING_MESSAGE,Warning message on I18NCode Update Modal,By editing the I18N Code you must remove the 'I18N' text and '_' between Words.,Durch Bearbeiten des I18N-Codes müssen Sie den Text „I18N“ und „_“ zwischen Wörtern entfernen.,Yes
I18N_WARNING_MESSAGE_ADD_KPI,I18NCode for Warning Message Add Kpi,You are adding a new Kpi to the game.,Sie fügen dem Spiel einen neuen Kpi hinzu.,Yes
I18N_WARNING_MESSAGE_AUTOMATIC_GENERATOR,I18NCode for Warning message Automatic Generator,You're automatically generating teams for the game. Auto-generating teams will remove all previous teams from the game.,Sie erstellen automatisch Teams für das Spiel.,Yes
I18N_WARNING_MESSAGE_CHAPTER_GOAL,I18NCode for Warning Message Chapter Goal,"You are editing chapter objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Sie bearbeiten Kapitelziele, Berechnungen sind deaktiviert. Stellen Sie sicher, dass Sie absolut sicher sind, bevor Sie fortfahren.",Yes
I18N_WARNING_MESSAGE_CONTEXT,Warning message on context Update Modal,"By editing the Context Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",Durch Bearbeiten des Kontexttyps kann es zu Störungen der Systemberechtigungsfunktion kommen.,Yes
I18N_WARNING_MESSAGE_COUNTRY_GOAL,I18NCode for Warning Message Country GOAL,"You are editing country objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Sie bearbeiten Länderziele, die Berechnungen sind deaktiviert. Stellen Sie sicher, dass Sie absolut sicher sind, bevor Sie fortfahren.",Yes
I18N_WARNING_MESSAGE_DIRECTOR_GOAL,I18NCode for Warning Message on Modal Update Director goal menu,"You are editing director objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Sie bearbeiten die Ziele des Regisseurs, die Berechnungen sind deaktiviert. Stellen Sie sicher, dass Sie absolut sicher sind, bevor Sie fortfahren.",Yes
