Code,Description,Default_Translation (en-en),Target_Translation (lv-lv),Has_Translation
I18N_REFERREALS_THE_REGION,I18NCode for Referreals The Region,Referrals,Ieteikumi,Yes
I18N_REGION,I18NCode for Région,Region,Reģions,Yes
I18N_REGION_AVG,I18NCode for region Avg,Region Avg,Reģiona vid,Yes
I18N_REGION_DEVELOPMENT,I18NCode for Region Development,Region Development,Reģiona attīstība,Yes
I18N_REGION_GOAL_EDIT,I18NCode for Region Goal Edit,Edit the Region Goal,Rediģējiet reģiona mērķi,Yes
I18N_REGION_GOAL_MENU,I18NCode for Region Menu for Goals,Region,Reģions,Yes
I18N_REGION_ID_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Region ID cannot exceed 50 characters,Region ID cannot exceed 50 characters,Reģiona ID nedrīkst pārsniegt 50 rakstzīmes,Yes
I18N_REGION_ID_IS_REQUIRED,I18NCode for Region ID is required,Region ID is required,Nepieciešams reģiona ID,Yes
I18N_REGION_LAST_MONTH,I18NCode for Region Last Month Page,Region Last Month,Reģions pagājušajā mēnesī,Yes
I18N_REGION_RETENTION_GROWTH,I18NCode for Region Retention Growth Page Title,Retention Growth,Saglabāšanas izaugsme,Yes
I18N_REGION_SCHEDULES,I18NCode for Region Schedules Title Page,Scheduled Operations,Plānotās operācijas,Yes
I18N_REGION_SETUP,I18NCode for Region Setup,Region Setup,Reģiona iestatīšana,Yes
I18N_REGION_SIZE,I18NCode for Region Size ,Region Size,Reģiona lielums,Yes
I18N_REGIONAL,I18NCode for Regional,Regional,Reģionālais,Yes
I18N_REGIONAL_ADMINISTRATION,I18NCode for Regional Administration,Regional Administration,Reģionālā pārvalde,Yes
I18N_REGIONAL_COUNT,I18NCode for Regional Count,Regional Count,Reģionālais grāfs,Yes
I18N_REGIONAL_COUNT_CONTACT_SPHERE,i18NCode for Regional Count Contact Sphere,Regional Count Contact Sphere,Reģionālā skaita kontaktu sfēra,Yes
I18N_REGIONAL_INFORMATION,I18NCode for regional information,Regional information,Reģionālā informācija,Yes
I18N_REGIONAL_OPTION,I18NCode for Regional Option,Regional Option,Reģionālā iespēja,Yes
I18N_REGIONS,Region,Regions,Reģioni,Yes
I18N_REGIONS__CHAPTERS__MEMBERS__AND_TEAMS,"I18NCode for Regions, Chapters, Members, and Teams","Regions, Chapters, Members and Teams",Reģioni,Yes
I18N_REGIONS_EVOLUTION,I18nCode for Regions Evolution,Regions Evolution,"Reģioni, nodaļas, locekļi un komandas",Yes
I18N_REGIONS_SUBSTITLE,I18NCode for Regions,Regions,Reģioni,Yes
I18N_REGISTER,I18NCode for Register ,Register,Reģistrēties,Yes
I18N_REGISTER_NEW_USER,I18NCode for Register New User,Register New User,Reģistrēt jaunu lietotāju,Yes
I18N_REGISTER_ONLY_FOR_R2Y_USERS,I18NCode for Register Only For R2Y Users,This register is only for Reporting2You users,Šis reģistrs ir paredzēts tikai Reporting2You lietotājiem,Yes
I18N_RELOAD_CHART,I18NCode for the Reload Chart Button,Reload Chart,Pārlādēt diagrammu,Yes
I18N_REMOVE_CONFIRMATION_BUTTON,I18NCode for Remove confirmation Button,"Yes, remove it!","Jā, noņemiet to!",Yes
I18N_REMOVE_FROM_THE_GROUP,I18NCode for Remove from the group,Remove from the group,Noņemt no grupas,Yes
I18N_REMOVE_IMAGE,I18NCode for Remove image,Remove image,Noņemt attēlu,Yes
I18N_RENEW,I18NCode for Renew,Renew at,Atjaunot plkst,Yes
I18N_RENEW_ABREVIATION,I18NCode for Renew Abreviation,Renew,Atjaunot,Yes
I18N_RENEW_SINGULAR,I18NCode for Renew word in singular,Renew,Atjaunot,Yes
I18N_RENEWALS,I18NCode for Renewals,Renewals,Atjaunojumi,Yes
I18N_RENEWALS_IS_REQUIRED,I18NCode for Renewals is required,Renewals is required,Nepieciešama atjaunošana,Yes
I18N_RENEWS,I18NCode for Renews,Renew,Atjaunot,Yes
I18N_REPORT,I18NCode for Report,Report,Ziņojums,Yes
I18N_REPORT_DATE,I18NCode for Report Date in Datatables Pdf Export,Report date,Ziņojuma datums,Yes
I18N_REPORT_NAME,I18NCode for Report Name,Report Name,Pārskata nosaukums,Yes
I18N_REPORTS,I18NCode for Reports,Reports,Pārskati,Yes
I18N_REQUEST_NEW_TOKEN,I18NCode for Request New Token,Request New Token,Pieprasīt jaunu marķieri,Yes
I18N_REQUIRED_CODE,Required Code,I18n Codes names is required to be unique.,I18n kodu nosaukumiem ir jābūt unikāliem.,Yes
I18N_RES,I18NCode for Res,Res.,Res.,Yes
I18N_RESET,I18NCode for Reset,Reset,Atiestatīt,Yes
I18N_RESIZE_CHAPTER_IMAGE_,I18NCode for Resize Chapter Image ,Resize chapter image,Mainiet nodaļas attēla izmērus,Yes
I18N_RESIZE_PROFILE_PICTURE,I18NCode for Resize profile picture,Resize profile picture,Mainiet profila attēla izmēru,Yes
I18N_RESPONDING_TO,"I18NCode for Responding to
",Responding to,Atbildot uz,Yes
I18N_RESULT,I18NCode for Result,Result,Rezultāts,Yes
I18N_RET,I18NCode for Ret,Ret.,Ret.,Yes
I18N_RET_1Y,I18NCode for Ret 1Y,Ret.1Y,Att.1G,Yes
I18N_RETAIN,I18NCode for Retain,Retain,Saglabāt,Yes
I18N_RETENTION,Retention,Retention,Saglabāšana,Yes
I18N_RETENTION_IS_REQUIRED,I18NCode for Retention is required,Retention is required,Nepieciešama saglabāšana,Yes
I18N_RETURN_TO_LIST,I18NCode for Return to list,Return to list,Atgriezties uz sarakstu,Yes
I18N_RETURN_TO_LOGIN,I18NCode for Return to Login,Return to Login,Atgriezties uz pieteikšanos,Yes
I18N_RETURN_TO_PREVIOUS_PAGE,I18NCode for Back to previous page,Return to previous page,Atgriezties uz iepriekšējo lapu,Yes
I18N_RG,I18NCode for RG,RG,RG,Yes
I18N_ROLE,I18NCode for Role,Role,Loma,Yes
I18N_RR,I18NCode for RR,RR,RR,Yes
I18N_S,I18NCode for S,S,S,Yes
I18N_SAVE,I18NCode for Save Button,Save,Saglabāt,Yes
I18N_SAVED_FILES,I18NCode for Saved Files,Saved Files,Saglabātie faili,Yes
I18N_SCHEDULED,I18NCode to scheduled,Scheduled,Plānots,Yes
I18N_SCHEDULED_DATE,I18NCode for Scheduled Date in Manage Tasks,Scheduled Date,Plānotais datums,Yes
I18N_SEARCH,I18NCode for Search,Search,Meklēt,Yes
I18N_SEARCH_BY,I18NCode for Search By label,Search by,Meklēt pēc,Yes
I18N_SEARCH_BY_PROFESSION,I18NCode for Search By Profession,Search by Profession,Meklēt pēc profesijas,Yes
I18N_SEARCH_CHAPTER,I18NCode for Search Chapter,Search Chapter,Meklēt nodaļa,Yes
I18N_SEARCH_CODEI18N,,Search Code I18N,Meklēšanas kods I18N,Yes
I18N_SEARCH_CONTEXT,I18NCode for search context bar,Search context,Meklēšanas konteksts,Yes
I18N_SEARCH_COUNTRY,I18nCode for search country,Search Country,Meklēt valsti,Yes
I18N_SEARCH_COUNTRY_LASTMONTH,I18NCode for Search Country Last Month,,,Yes
I18N_SEARCH_DIRECTOR,I18NCode for Search Director Bar,Search Director,Meklēt direktoru,Yes
I18N_SEARCH_FOR_A_CONTACT_TO_START_A_CONVERSATION_,I18NCode for Search for a contact to start a conversation.,Find a contact to start a conversation. (Minimum 3 characters),"Atrodiet kontaktu, lai sāktu sarunu.",Yes
I18N_SEARCH_LANGUAGE,I18NCode for search language bar,Search language,Meklēšanas valoda,Yes
I18N_SEARCH_MEMBER,I18NCode for Search Member/Chapter,Search Member,Meklēt dalībnieku,Yes
I18N_SEARCH_MODULE,I18NCode for search module bar,Search module,Meklēšanas modulis,Yes
I18N_SEARCH_PROFILES,I18NCode for Search in Profiles Page,Search Profiles,Meklēt profilus,Yes
I18N_SEARCH_REGION,I18NCode for search region bar,Search Region,Meklēt reģionu,Yes
I18N_SEARCH_TRANSLATION,I18NCode for search translation bar,Search translation,Meklēt reģionu,Yes
I18N_SECONDS,I18NCode for seconds,seconds,sekundes,Yes
I18N_SEE_ALL_CONVERSATIONS,"I18NCode for See all conversations
",See all conversations,Skatīt visas sarunas,Yes
I18N_SELECT_A_CHAT_OR_CREATE_A_NEW_ONE,I18NCode for Select a chat or create a new one,Select a chat or create a new one,Izvēlieties tērzēšanu vai izveidojiet jaunu,Yes
I18N_SELECT_A_LANGUAGE,I18NCode for Select a language,Select a language,Izvēlieties valodu,Yes
I18N_SELECT_AN_IMAGE_FIRST,I18NCode for Select an image First,Select an image first.,Vispirms atlasiet attēlu.,Yes
I18N_SELECT_CHAPTER,I18NCode for Select Chapter,Select a Chapter,Izvēlieties nodaļu,Yes
I18N_SELECT_DIRECTOR,I18NCode for Select Director,Select a Director,Izvēlieties direktoru,Yes
I18N_SELECT_IMAGE,I18NCode for Select Image,Select image,Izvēlieties attēlu,Yes
I18N_SELECT_JUST_ONE_CONTACT,"I18NCode for Select just one contact
",Select just one contact,Izvēlieties tikai vienu kontaktpersonu,Yes
I18N_SELECT_KPI,I18NCode for Select Kpi,Select KPI,Atlasiet KPI,Yes
I18N_SEND,I18NCode for Send,Send,Sūtīt,Yes
I18N_SEND_A_PRIVATE_MESSAGE_TO_MULTIPLE_RECIPIENTS_SIMULTANEOUSLY_WITH_THE_SAME_CONTENT,I18NCode for Send a private message to multiple recipients simultaneously with the same content.,Send a private message to multiple users simultaneously with the same content.,Nosūtiet privātu ziņojumu vairākiem lietotājiem vienlaikus ar vienu un to pašu saturu.,Yes
I18N_SEND_BROADCAST,I18NCode for Send Broadcast,Send broadcast,Sūtīt pārraidi,Yes
I18N_SEND_EMAILS,I18NCode for Send Emails,Send Emails,Sūtīt e-pastus,Yes
I18N_SENDING,I18NCode for Sending,Sending...,Notiek sūtīšana...,Yes
I18N_SEPTEMBER,I18NCode for September,September,septembris,Yes
I18N_SETUP,I18NCode for Setup,Setup,Iestatīšana,Yes
I18N_SETUPNEWPASSWORD,I18NCode for SetupNewPassword,Setup New Password,Iestatiet jaunu paroli,Yes
I18N_SHARING_BUTTON_COOKIES,"I18NCode for Sharing button cookies
",Sharing button cookies,Kopīgošanas pogu sīkfaili,Yes
I18N_SHORT_NAME,I18NCode for the short name	,ShortName,ShortName,Yes
I18N_SHOW_ALL,I18NCode for Show All,Show all contact sphere,Rādīt visu kontaktu sfēru,Yes
I18N_SHOW_MEMBER_ON_THEIR,I18NCode for Show Member On Their,Show Member On Their,Rādīt dalībnieku par viņu,Yes
I18N_SHOW_MEMBERS_RENEWING_OVER_THE_NEXT,I18NCode for Show Members Renewing Over The Next,Show Members Renewing Over The Next,"Rādīt dalībniekus, kas atjaunojas nākamās dienas laikā",Yes
I18N_SHOW_ONLY_CE,I18NCode for Show Only CE,Show only chapter contacts sphere ,Rādīt tikai nodaļu kontaktpersonu sfēru,Yes
I18N_SIGN_IN,I18NCode for Sign in,Sign In,Pierakstīties,Yes
I18N_SIGN_OUT,I18NCode for Sign Out,Sign out,Izrakstīties,Yes
I18N_SIGN_UP,I18NCode for Sign Up,Sign Up,Reģistrēties,Yes
I18N_SINCE,I18NCode for Since,Since,Kopš,Yes
I18N_SIZE_GRAPH,I18NCode for Size on Graph,Size,Izmērs,Yes
I18N_SIZE_IS_REQUIRED,I18NCode for Size is required,Size is required,Nepieciešams izmērs,Yes
I18N_SOURCE,I18NCode for Source,Source,Avots,Yes
I18N_SPONS,I18NCode for Spons,Spons,Spons,Yes
I18N_SPONSOR_MODAL_TITTLE,I18NCode for SPONSOR Modal TIttle,List of Sponsored by,Sponsorēto saraksts,Yes
I18N_SPONSOR_SINCE,I18NCode for Sponsor since,Sponsor since,Sponsors kopš,Yes
I18N_SPONSORED,I18NCode for Sponsored,Sponsored,Sponsorēts,Yes
I18N_SPONSORED_CHAPTER_,I18NCode for Sponsored Chapter	,Sponsored Chapter,Sponsorētā nodaļa,Yes
I18N_SPONSORED_REGION_,I18NCode for Sponsored Region,Sponsored Region,Sponsorētais reģions,Yes
I18N_START_ACTIVE_CHAPTERS,I18NCode for Start Active Chapters,Start Active Chapter,Sāciet aktīvo nodaļu,Yes
I18N_START_ACTIVE_MEMBERS,I18NCode for Start Active Members,Start Active Members,Sāciet aktīvos dalībniekus,Yes
I18N_START_DATE,I18NCode for Start Date,Start Date,Sākuma datums,Yes
I18N_START_DATE_IS_REQUIRED,I18NCode for Start date is required,Start date é obrigatória,Sākuma datums é obrigatória,Yes
I18N_START_MONITORING,I18NCode for Start Monitoring,Start Monitoring,Sāciet uzraudzību,Yes
I18N_START_RETENTION,I18NCode for Start Retention,Start Retention,Sāciet saglabāšanu,Yes
I18N_START_VALUES,I18NCode for Start Values,Current Values,Pašreizējās vērtības,Yes
I18N_STARTS_PROCESS,"I18NCode for ""Starts Process""",starts process,sāk procesu,Yes
I18N_STATUS,I18NCode for status label,Status,Statuss,Yes
I18N_STAY_ACTIVE,I18NCode for Stay Active,Stay active,Esiet aktīvs,Yes
I18N_SUBJECT,I18NCode for Subject,Subject,Priekšmets,Yes
I18N_SUBMIT,I18NCode for the submit button,Submit,Iesniegt,Yes
I18N_SUBMIT_CHAT_MODAL,I18NCode for Submit Chat Modal,You just created a chat.,Jūs tikko izveidojāt tērzēšanu.,Yes
I18N_SUBMIT_CONFIRM_BUTTON,I18NCode for Submit Confirm Button,"Ok, got it!","Labi, sapratu!",Yes
I18N_SUBMIT_GOALS_WARNING_TEXT,I18NCode for Submit Goals Warning Text,Unable to create goal because one already exists in that date range,"Nevar izveidot mērķi, jo tāds jau pastāv šajā datumu diapazonā",Yes
I18N_SUBMIT_MODAL,I18NCode for Submit Modal Text,Form has been successfully submitted!,Veidlapa ir veiksmīgi iesniegta!,Yes
I18N_SUBMIT_WARNING_TEXT,I18NCode for Submit Warning Text,"Sorry, looks like there are some errors detected, please try again.","Atvainojiet, šķiet, ka ir konstatētas dažas kļūdas. Lūdzu, mēģiniet vēlreiz.",Yes
I18N_SUBSTITUTIONS,I18NCode for SUBSTITUTIONS,Substitutions,Aizstāšanas,Yes
I18N_SUCCESS,I18NCode for Success,Success,Panākumi,Yes
I18N_SUSPENDED,I18NCode for Suspended,Suspended,Apturēts,Yes
I18N_SUSPENDED_CHAPTERS,I18NCode for Suspended Chapters,Suspended Chapters,Apturētas nodaļas,Yes
I18N_SUSPENDED_MEMBERS,I18NCode for Suspended Members,Suspended Members,Atstādināti deputāti,Yes
I18N_SUSPENDED_MULTI,I18NCode for Suspended in Multi,Suspended,Apturēts,Yes
I18N_SWITCH_TO,I18NCode for SWITCH TO,Switch to ,Pārslēgties uz,Yes
I18N_SYSTEM_ERROR,I18NCode for System Error,System Error,Sistēmas kļūda,Yes
I18N_TASK,I18NCode for Task,Tasks,Uzdevumi,Yes
I18N_TASK_TYPE,I18NCode for Task Type,Task Type,Uzdevuma veids,Yes
I18N_TASKS_FOR_FALLING_MEMBERS,I18NCode for Tasks for Falling Members,Tasks for Falling Members,Uzdevumi krītošajiem biedriem,Yes
I18N_TASKS_FOR_FALLING_MEMBERS_DESCRIPTION,I18NCode for Tasks for Falling Members Description,Activate tasks for falling members,Aktivizējiet uzdevumus krītošiem dalībniekiem,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING,I18NCode for Tasks for Members Renewing,Tasks for Members Renewing,Uzdevumi biedru atjaunošanai,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING_DESCRIPTION,I18NCode for Tasks For Members Renewing Description,Activate tasks for members renewal,Aktivizējiet uzdevumus dalībnieku atjaunošanai,Yes
I18N_TASKSTATUS,I18NCode for #TaskStatus in edit task modal,Task Status,Uzdevuma statuss,Yes
I18N_TEAM,I18NCode for Team,Team,Komanda,Yes
I18N_TEAM_INFORMATION,I18NCode for Team information,Team Information,Komandas informācija,Yes
I18N_TEAM_MEMBER,I18NCode for Team Member,Team Member,Komandas dalībnieks,Yes
I18N_TEAM_MEMBERS,I18NCode for Team Members,Team Members,Komandas dalībnieki,Yes
I18N_TEAM_WORK,I18NCode for Team Work,Team Work,Komandas darbs,Yes
I18N_TEAMS,I18NCode for Teams,Teams,Komandas,Yes
I18N_TELEPHONE_CONTACT,I18NCode for Telephone Contact,Telephone Contact,Telefona kontakts,Yes
I18N_TEST,I18NCode for Test,Test,Pārbaude,Yes
I18N_TESTIMONY,I18NCode for Testimony,Testimony,Liecība,Yes
I18N_THAN_PREVIOUS_MONTH,I18NCode for Than Previous Month,Than previous Month,Nekā iepriekšējā mēnesī,Yes
I18N_THANK_YOU_FOR_CLOSING_BUSINESS,I18NCode for THANK YOU FOR CLOSING BUSINESS,Thank you for closing business,"Paldies, ka slēdzāt uzņēmumu",Yes
I18N_THE_CHAT_WAS_NOT_DELETED_,I18NCode for The chat was not deleted!,The chat was not deleted!,Tērzēšana netika izdzēsta!,Yes
I18N_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,"I18NCode for The cookies necessary for navigation on the site
",The cookies necessary for navigation on the site,"Sīkfaili, kas nepieciešami navigācijai vietnē",Yes
I18N_THE_EXPIRATION_DATE_AND_TIME_MUST_BE_LATER_THAN_THE_CURRENT_DATE_,I18NCode for The expiration date and time must be later than the current date.,The expiration date and time must be later than the current date.,Derīguma termiņam un laikam jābūt vēlākam par pašreizējo datumu.,Yes
I18N_THE_POLL_MUST_HAVE_AT_LEAST_2_VALID_OPTIONS_,I18NCode for The poll must have at least 2 valid options.,The poll must have at least 2 valid options.,Aptaujai ir jābūt vismaz 2 derīgām opcijām.,Yes
I18N_THE_QUESTION_IS_MANDATORY,I18NCode for The question is mandatory,The question is mandatory.,Jautājums ir obligāts.,Yes
I18N_THE_REGION,I18NCode for The Region,The Region,Reģions,Yes
I18N_THE_REGION_IN_NUMBERS,I18NCode for The Region in Numbers,The Region in Numbers,Reģions skaitļos,Yes
I18N_THE_TEAM,I18NCode for The Team,The Team,Komanda,Yes
I18N_THE_TOKEN_PROVIDED_IS_INVALID_OR_HAS_EXPIRED,I18NCode for Invalid Or Expired Token,The token provided is invalid or has expired,Norādītais marķieris nav derīgs vai ir beidzies,Yes
I18N_THERE_ARE_NO_USERS_FROM_THIS_REGION,I18NCode for There are no users from this region,There are no users from this region,Šajā reģionā nav neviena lietotāja,Yes
I18N_THERE_IS_NO_DATA_FOR_THE_CURRENT_PROFILE,I18NCode for There is no data for the current profile,There is no data for the current profile,Pašreizējam profilam nav datu,Yes
I18N_TILL,I18NCode for Till,Till,Līdz,Yes
I18N_TIME,I18NCode for Time in Kpi Correlation Page,Time,Laiks,Yes
I18N_TIME_S_UP,I18NCode for Time's Up,Time's Up!,Laiks ir beidzies!,Yes
I18N_TO,I18NCode from To,To,Uz,Yes
I18N_TO_BELOW,"I18NCode for ""To Below""",To below,Uz zemāk,Yes
I18N_TO_GREEN,I18NCode for To Green,To Green,Uz Zaļo,Yes
I18N_TO_GREEN_LABEL_INFO,I18NCode for To Green Label Info,month(s) to reach Green,"mēnesis(-i), lai sasniegtu Grīnu",Yes
I18N_TO_RED,I18NCode for To Red,To Red,Uz Sarkano,Yes
I18N_TO_SCHEDULE,I18NCode To schedule,To Schedule,Lai ieplānotu,Yes
I18N_TO_SHOW,I18NCode for To Show,to display.,lai parādītu.,Yes
I18N_TO_YELLOW,I18NCode for To Yellow,To Yellow,Uz Dzeltenu,Yes
I18N_TOKEN_EXPIRED_MESSAGE,I18NCode for Token Expired Message,"<strong>Token Expired!</strong> Your activation Token has expired.
<br/>
Please request a new one to continue.",<strong>Token ir beidzies!</strong> Jūsu aktivizācijas pilnvaras derīguma termiņš ir beidzies.,Yes
I18N_TOOLS_TO_IMPROVE_PERFORMANCE,I18NCode for Tools to improve performance,Tools to improve performance,Rīki veiktspējas uzlabošanai,Yes
I18N_TOP_3,I18NCode for Top3,Top 3,Top 3,Yes
I18N_TOTAL,I18NCode for Total,Total,Kopā,Yes
I18N_TOTAL_GROUPS,I18NCode for Total Groups,Total,Kopā,Yes
I18N_TOTAL_MEMBERS,I18NCode for Total Members,Total members,Dalībnieku kopskaits,Yes
I18N_TOTAL_NET_GROWTH,I18NCode for Total Net Growth,Total Net Growth,Kopējais neto pieaugums,Yes
I18N_TOTAL_SPONSORS,I18NCode for Total Sponsors,Total Sponsors,Kopējais sponsoru skaits,Yes
I18N_TOTAL_TEAMS,I18NCode for Total Teams,Total teams,Kopā komandas,Yes
I18N_TOTAL_TYFCB,I18NCode for Total TYFCB,Total,Kopā,Yes
I18N_TRADUCAOTESTE,TraducaoTeste,teste,teste,Yes
I18N_TRAFFIC_LIGHT_SYSTEM_LEADERSHIP_DESCRIPTION,I18NCode for Traffic Light System Leadership Description,Traffic light system for leadership,Luksoforu sistēma vadībai,Yes
I18N_TRAFFIC_LIGHTS,I18NCode for Traffic Lights,Traffic Lights,Luksofori,Yes
I18N_TRAFFIC_LIGHTS_CHAPTERS,I18NCode for Traffic Lights Chapters,Traffic Ligths / Chapters,Luksofori / Nodaļas,Yes
I18N_TRAFFIC_LIGHTS_COUNTRY_,I18NCode for TRAFFIC LIGHTS Country	,Traffic Lights Country,Luksoforu valsts,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION,I18NCode for Traffic Lights Evolution,Traffic Lights Evolution,Luksoforu evolūcija,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_COUNTRY,I18NCode for Traffic Lights Evolution Country,Traffic Lights Evolution Country,Luksoforu evolūcijas valsts,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_REGION,I18NCode for Traffic Lights Evolution Region Menu,Traffic Lights Evolution Region,Luksoforu evolūcijas reģions,Yes
I18N_TRAFFIC_LIGHTS_MEMBERS,I18NCode for Traffic Lights Members,Traffic Lights / Members,Luksofori / Biedri,Yes
I18N_TRAFFIC_LIGHTS_MULTIREGION,I18NCode for Traffic Lights MultiRegion,Traffic Lights MultiRegion,Luksoforu daudzreģions,Yes
I18N_TRAFFIC_LIGHTS_REGION,I18NCode for Traffic Lights Region,Traffic Lights Region,Luksoforu reģions,Yes
I18N_TRAINING_ATTENDANCE,I18NCode for Training Attendance Chart,Training Attendance,Apmācību apmeklējums,Yes
I18N_TRANSLATED,I18NCode for Translated,Translated,Tulkots,Yes
I18N_TRANSLATION,I18NCode for Translation,Translation,Tulkošana,Yes
I18N_TRANSLATION_INFORMATION_FOR,I18NCode for Translation Information For,Translation information for,Tulkošanas informācija par,Yes
I18N_TRANSLATIONS,I18NCodes for translations,Translations,Tulkojumi,Yes
I18N_TRANSLATIONS_DESCRIPTION,I18NCode for translations description,Description,Apraksts,Yes
I18N_TRY_AGAIN,I18NCode for Try Again,Try again,Mēģiniet vēlreiz,Yes
I18N_TYFCB,Thank you for closing business,TYFCB,TYFCB,Yes
I18N_TYFCB_PER_MEMBER,I18NCode for TYFCB per Member,Per Member,Katram biedram,Yes
I18N_TYFCB_TOTAL,I18NCode for TYFCB total 12 meses,Total (12 months),Kopā (12 mēneši),Yes
I18N_TYPE,I18NCode for Type,Type,Tips,Yes
I18N_TYPE_OF_CONVERSATION,I18NCode for type of conversation,Chat type,Tērzēšanas veids,Yes
I18N_TYPES_OF_COOKIES_USED,I18NCode for Types of cookies used,Types of cookies used,Izmantoto sīkfailu veidi,Yes
I18N_UNABLE_TO_PROCESS_YOUR_REQUEST,I18NCode for Unable To Process Your Request,Unable to process your request,Nevar apstrādāt jūsu pieprasījumu,Yes
I18N_UP,I18NCode for Up,Up,Uz augšu,Yes
I18N_UPCOMING_RENEWALS,I18NCode for Upcoming Renewels page,Upcomming Renewals,Gaidāmie atjaunošanas pasākumi,Yes
I18N_UPDATE,I18NCode update label header modal,Update,Atjaunināt,Yes
I18N_UPDATE_CONTEXT,Update context label header modal	,Update ,Atjaunināt,Yes
I18N_UPDATE_DATE_RANGE,"I18NCode for Update date range
",Update Date Range,Atjaunināt datumu diapazonu,Yes
I18N_UPDATE_LANGUAGE,Update languagelabel header modal,Update,Atjaunināt,Yes
I18N_UPDATE_MECHANISM,I18NCode for Update Mechanism,Update Mechanism,Atjaunināšanas mehānisms,Yes
I18N_UPDATE_MODULE,Update module label header modal	,Update,Atjaunināt,Yes
I18N_UPDATE_TRANSLATIONS,Update translations label header modal,Update,Atjaunināt,Yes
I18N_UPLOAD,I18NCode for Upload,Upload,Augšupielādēt,Yes
I18N_UPLOAD_FILE_ERROR,I18NCode for Upload File Error in dropzone,File size greater than 5 MB,Faila izmērs ir lielāks par 5 MB,Yes
I18N_UPLOAD_FILES_SIZE,I18NCode for Upload Files Size label,Upload up to 2 files,Faila izmērs ir lielāks par 5 MB,Yes
I18N_USAGES,I18NCode for Usages,Usages,Lietojumi,Yes
I18N_USE_8_OR_MORE_CHARACTERS_WITH_A_MIX_OF_LETTERS__NUMBERS___SYMBOLS_,"I18NCode for Use 8 or more characters with a mix of letters, numbers & symbols.
","Use 8 or more characters with a mix of letters, numbers & symbols.","Izmantojiet 8 vai vairāk rakstzīmes ar burtu, ciparu un simbolu kombināciju.",Yes
I18N_USER,I18NCode for User,User,Lietotājs,Yes
I18N_USER_CREATED_SUCCESSFULLY,I18NCode for User Created Successfully,User created successfully! Please check your email to complete registration.,Lietotājs ir veiksmīgi izveidots!,Yes
I18N_USER_DOES_NOT_EXIST,I18NCode for User Does Not Exist,User does not exist,Lietotājs neeksistē,Yes
I18N_USER_EMAIL_NOT_FOUND,I18NCode for User/Email not found,User/Email not found,Lietotājs/e-pasts nav atrasts,Yes
I18N_USER_PROFILE,I18NCode for User Profile,User Profile,Lietotāja profils,Yes
I18N_USERNAME,I18NCode for UserName,Username,Lietotājvārds,Yes
I18N_USERS,I18NCode for Users,Users,Lietotāji,Yes
I18N_VALUE,I18NCode for Value,Value,Vērtība,Yes
I18N_VIS_W,I18NCode for VisW,Vis/W,Vis/W,Yes
I18N_VISI,I18NCode for Visi,Visi.,Visi.,Yes
I18N_VISION,I18NCode for Vision,Vision,Vīzija,Yes
I18N_VISITORS,I18NCode for Visitors,Visitors,Apmeklētāji,Yes
I18N_VISITS_12_MONTHS,I18NCode for Visits (12 months),Visitors (12 month),Apmeklētāji (12 mēneši),Yes
I18N_VISITS_IS_REQUIRED,I18NCode for Visits is required,Visits is required,Apmeklējumi ir nepieciešami,Yes
I18N_VISITS_NOT_QUALIFIED,I18NCode for Visits not qualified,Visits not Qualified,Apmeklējumi nav kvalificēti,Yes
I18N_VISITS_PER_WEEK__12_MONTHS_,I18NCode for Visits per Week (12 months),Visitors per Week (12 month),Apmeklētāji nedēļā (12 mēneši),Yes
I18N_VISNQ,I18NCode for VisNQ,VISNQ,VISNQ,Yes
I18N_WARNING,Warning!,Warning!,Brīdinājums!,Yes
I18N_WARNING_ADD_TEAM,I18NCode for Warning Add team,You are adding a new team to the game.,Jūs pievienojat spēlei jaunu komandu.,Yes
I18N_WARNING_MESSAGE,Warning message on I18NCode Update Modal,By editing the I18N Code you must remove the 'I18N' text and '_' between Words.,"Rediģējot I18N kodu, jums ir jānoņem teksts ""I18N"" un ""_"" starp vārdiem.",Yes
I18N_WARNING_MESSAGE_ADD_KPI,I18NCode for Warning Message Add Kpi,You are adding a new Kpi to the game.,Jūs pievienojat spēlei jaunu Kpi.,Yes
I18N_WARNING_MESSAGE_AUTOMATIC_GENERATOR,I18NCode for Warning message Automatic Generator,You're automatically generating teams for the game. Auto-generating teams will remove all previous teams from the game.,Jūs automātiski ģenerējat komandas spēlei.,Yes
I18N_WARNING_MESSAGE_CHAPTER_GOAL,I18NCode for Warning Message Chapter Goal,"You are editing chapter objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Jūs rediģējat nodaļas mērķus, aprēķini ir atspējoti. Pirms turpināt, pārliecinieties, ka esat pārliecināts.",Yes
