Code,Description,Default_Translation (en-en),Target_Translation (bg-bg),Has_Translation
I18N_SEARCH_FOR_A_CONTACT_TO_START_A_CONVERSATION_,I18NCode for Search for a contact to start a conversation.,Find a contact to start a conversation. (Minimum 3 characters),"Намерете контакт, за да започнете разговор.",Yes
I18N_SEARCH_LANGUAGE,I18NCode for search language bar,Search language,Език за търсене,Yes
I18N_SEARCH_MEMBER,I18NCode for Search Member/Chapter,Search Member,Търсене на член,Yes
I18N_SEARCH_MODULE,I18NCode for search module bar,Search module,Модул за търсене,Yes
I18N_SEARCH_PROFILES,I18NCode for Search in Profiles Page,Search Profiles,Търсене на профили,Yes
I18N_SEARCH_REGION,I18NCode for search region bar,Search Region,Регион за търсене,Yes
I18N_SEARCH_TRANSLATION,I18NCode for search translation bar,Search translation,Търсене на превод,Yes
I18N_SECONDS,I18NCode for seconds,seconds,секунди,Yes
I18N_SEE_ALL_CONVERSATIONS,"I18NCode for See all conversations
",See all conversations,Вижте всички разговори,Yes
I18N_SELECT_A_CHAT_OR_CREATE_A_NEW_ONE,I18NCode for Select a chat or create a new one,Select a chat or create a new one,Изберете чат или създайте нов,Yes
I18N_SELECT_A_LANGUAGE,I18NCode for Select a language,Select a language,Изберете чат или създайте нов,Yes
I18N_SELECT_AN_IMAGE_FIRST,I18NCode for Select an image First,Select an image first.,Първо изберете изображение.,Yes
I18N_SELECT_CHAPTER,I18NCode for Select Chapter,Select a Chapter,Изберете глава,Yes
I18N_SELECT_DIRECTOR,I18NCode for Select Director,Select a Director,Изберете директор,Yes
I18N_SELECT_IMAGE,I18NCode for Select Image,Select image,Изберете изображение,Yes
I18N_SELECT_JUST_ONE_CONTACT,"I18NCode for Select just one contact
",Select just one contact,Изберете само един контакт,Yes
I18N_SELECT_KPI,I18NCode for Select Kpi,Select KPI,Изберете KPI,Yes
I18N_SEND,I18NCode for Send,Send,Изпратете,Yes
I18N_SEND_A_PRIVATE_MESSAGE_TO_MULTIPLE_RECIPIENTS_SIMULTANEOUSLY_WITH_THE_SAME_CONTENT,I18NCode for Send a private message to multiple recipients simultaneously with the same content.,Send a private message to multiple users simultaneously with the same content.,Изпратете лично съобщение до множество потребители едновременно с едно и също съдържание.,Yes
I18N_SEND_BROADCAST,I18NCode for Send Broadcast,Send broadcast,Изпращане на предаване,Yes
I18N_SEND_EMAILS,I18NCode for Send Emails,Send Emails,Изпращайте имейли,Yes
I18N_SENDING,I18NCode for Sending,Sending...,Изпращане...,Yes
I18N_SEPTEMBER,I18NCode for September,September,септември,Yes
I18N_SETUP,I18NCode for Setup,Setup,Настройка,Yes
I18N_SETUPNEWPASSWORD,I18NCode for SetupNewPassword,Setup New Password,Настройка на нова парола,Yes
I18N_SHARING_BUTTON_COOKIES,"I18NCode for Sharing button cookies
",Sharing button cookies,Бутон за споделяне на бисквитки,Yes
I18N_SHORT_NAME,I18NCode for the short name	,ShortName,Кратко име,Yes
I18N_SHOW_ALL,I18NCode for Show All,Show all contact sphere,Показване на цялата контактна сфера,Yes
I18N_SHOW_MEMBER_ON_THEIR,I18NCode for Show Member On Their,Show Member On Their,Показване на член на техния,Yes
I18N_SHOW_MEMBERS_RENEWING_OVER_THE_NEXT,I18NCode for Show Members Renewing Over The Next,Show Members Renewing Over The Next,Показване на подновяване на членове през следващия,Yes
I18N_SHOW_ONLY_CE,I18NCode for Show Only CE,Show only chapter contacts sphere ,Показване само на сферата за контакти на глава,Yes
I18N_SIGN_IN,I18NCode for Sign in,Sign In,Вход,Yes
I18N_SIGN_OUT,I18NCode for Sign Out,Sign out,Излезте,Yes
I18N_SIGN_UP,I18NCode for Sign Up,Sign Up,Регистрирайте се,Yes
I18N_SINCE,I18NCode for Since,Since,Тъй като,Yes
I18N_SIZE_GRAPH,I18NCode for Size on Graph,Size,Размер,Yes
I18N_SIZE_IS_REQUIRED,I18NCode for Size is required,Size is required,Изисква се размер,Yes
I18N_SOURCE,I18NCode for Source,Source,Източник,Yes
I18N_SPONS,I18NCode for Spons,Spons,Спонс,Yes
I18N_SPONSOR_MODAL_TITTLE,I18NCode for SPONSOR Modal TIttle,List of Sponsored by,Списък на спонсорирани от,Yes
I18N_SPONSOR_SINCE,I18NCode for Sponsor since,Sponsor since,Спонсор от,Yes
I18N_SPONSORED,I18NCode for Sponsored,Sponsored,Спонсориран,Yes
I18N_SPONSORED_CHAPTER_,I18NCode for Sponsored Chapter	,Sponsored Chapter,Спонсорирана глава,Yes
I18N_SPONSORED_REGION_,I18NCode for Sponsored Region,Sponsored Region,Спонсориран регион,Yes
I18N_START_ACTIVE_CHAPTERS,I18NCode for Start Active Chapters,Start Active Chapter,Спонсориран регион,Yes
I18N_START_ACTIVE_MEMBERS,I18NCode for Start Active Members,Start Active Members,Стартирайте Активни членове,Yes
I18N_START_DATE,I18NCode for Start Date,Start Date,Начална дата,Yes
I18N_START_DATE_IS_REQUIRED,I18NCode for Start date is required,Start date é obrigatória,Начална дата é obrigatória,Yes
I18N_START_MONITORING,I18NCode for Start Monitoring,Start Monitoring,Започнете наблюдение,Yes
I18N_START_RETENTION,I18NCode for Start Retention,Start Retention,Стартиране на задържане,Yes
I18N_START_VALUES,I18NCode for Start Values,Current Values,Текущи стойности,Yes
I18N_STARTS_PROCESS,"I18NCode for ""Starts Process""",starts process,стартира процес,Yes
I18N_STATUS,I18NCode for status label,Status,Статус,Yes
I18N_STAY_ACTIVE,I18NCode for Stay Active,Stay active,Останете активни,Yes
I18N_SUBJECT,I18NCode for Subject,Subject,Предмет,Yes
I18N_SUBMIT,I18NCode for the submit button,Submit,Изпратете,Yes
I18N_SUBMIT_CHAT_MODAL,I18NCode for Submit Chat Modal,You just created a chat.,Току-що създадохте чат.,Yes
I18N_SUBMIT_CONFIRM_BUTTON,I18NCode for Submit Confirm Button,"Ok, got it!","Добре, разбрах!",Yes
I18N_SUBMIT_GOALS_WARNING_TEXT,I18NCode for Submit Goals Warning Text,Unable to create goal because one already exists in that date range,"Не може да се създаде цел, тъй като такава вече съществува в този период от време",Yes
I18N_SUBMIT_MODAL,I18NCode for Submit Modal Text,Form has been successfully submitted!,Формулярът е изпратен успешно!,Yes
I18N_SUBMIT_WARNING_TEXT,I18NCode for Submit Warning Text,"Sorry, looks like there are some errors detected, please try again.","Съжаляваме, изглежда, че има открити грешки. Моля, опитайте отново.",Yes
I18N_SUBSTITUTIONS,I18NCode for SUBSTITUTIONS,Substitutions,Замени,Yes
I18N_SUCCESS,I18NCode for Success,Success,Успех,Yes
I18N_SUSPENDED,I18NCode for Suspended,Suspended,Спряно,Yes
I18N_SUSPENDED_CHAPTERS,I18NCode for Suspended Chapters,Suspended Chapters,Прекратени глави,Yes
I18N_SUSPENDED_MEMBERS,I18NCode for Suspended Members,Suspended Members,Прекратени членове,Yes
I18N_SUSPENDED_MULTI,I18NCode for Suspended in Multi,Suspended,Спряно,Yes
I18N_SWITCH_TO,I18NCode for SWITCH TO,Switch to ,Превключете към,Yes
I18N_SYSTEM_ERROR,I18NCode for System Error,System Error,Системна грешка,Yes
I18N_TASK,I18NCode for Task,Tasks,Задачи,Yes
I18N_TASK_TYPE,I18NCode for Task Type,Task Type,Тип задача,Yes
I18N_TASKS_FOR_FALLING_MEMBERS,I18NCode for Tasks for Falling Members,Tasks for Falling Members,Задачи за падащи членове,Yes
I18N_TASKS_FOR_FALLING_MEMBERS_DESCRIPTION,I18NCode for Tasks for Falling Members Description,Activate tasks for falling members,Активирайте задачи за падащи членове,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING,I18NCode for Tasks for Members Renewing,Tasks for Members Renewing,Задачи за подновяване на членове,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING_DESCRIPTION,I18NCode for Tasks For Members Renewing Description,Activate tasks for members renewal,Активирайте задачи за подновяване на членове,Yes
I18N_TASKSTATUS,I18NCode for #TaskStatus in edit task modal,Task Status,Статус на задачата,Yes
I18N_TEAM,I18NCode for Team,Team,Екип,Yes
I18N_TEAM_INFORMATION,I18NCode for Team information,Team Information,Информация за отбора,Yes
I18N_TEAM_MEMBER,I18NCode for Team Member,Team Member,Член на екипа,Yes
I18N_TEAM_MEMBERS,I18NCode for Team Members,Team Members,Членове на екипа,Yes
I18N_TEAM_WORK,I18NCode for Team Work,Team Work,Работа в екип,Yes
I18N_TEAMS,I18NCode for Teams,Teams,Екипи,Yes
I18N_TELEPHONE_CONTACT,I18NCode for Telephone Contact,Telephone Contact,Телефон за връзка,Yes
I18N_TEST,I18NCode for Test,Test,Тест,Yes
I18N_TESTIMONY,I18NCode for Testimony,Testimony,Свидетелство,Yes
I18N_THAN_PREVIOUS_MONTH,I18NCode for Than Previous Month,Than previous Month,От предишния месец,Yes
I18N_THANK_YOU_FOR_CLOSING_BUSINESS,I18NCode for THANK YOU FOR CLOSING BUSINESS,Thank you for closing business,"Благодаря ви, че затворихте бизнеса",Yes
I18N_THE_CHAT_WAS_NOT_DELETED_,I18NCode for The chat was not deleted!,The chat was not deleted!,Чатът не беше изтрит!,Yes
I18N_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,"I18NCode for The cookies necessary for navigation on the site
",The cookies necessary for navigation on the site,"Бисквитките, необходими за навигация в сайта",Yes
I18N_THE_EXPIRATION_DATE_AND_TIME_MUST_BE_LATER_THAN_THE_CURRENT_DATE_,I18NCode for The expiration date and time must be later than the current date.,The expiration date and time must be later than the current date.,Датата и часът на валидност трябва да са по-късни от текущата дата.,Yes
I18N_THE_POLL_MUST_HAVE_AT_LEAST_2_VALID_OPTIONS_,I18NCode for The poll must have at least 2 valid options.,The poll must have at least 2 valid options.,Анкетата трябва да има поне 2 валидни опции.,Yes
I18N_THE_QUESTION_IS_MANDATORY,I18NCode for The question is mandatory,The question is mandatory.,Въпросът е задължителен.,Yes
I18N_THE_REGION,I18NCode for The Region,The Region,Регионът,Yes
I18N_THE_REGION_IN_NUMBERS,I18NCode for The Region in Numbers,The Region in Numbers,Регионът в числа,Yes
I18N_THE_TEAM,I18NCode for The Team,The Team,Екипът,Yes
I18N_THE_TOKEN_PROVIDED_IS_INVALID_OR_HAS_EXPIRED,I18NCode for Invalid Or Expired Token,The token provided is invalid or has expired,Предоставеният токен е невалиден или е изтекъл,Yes
I18N_THERE_ARE_NO_USERS_FROM_THIS_REGION,I18NCode for There are no users from this region,There are no users from this region,Няма потребители от този регион,Yes
I18N_THERE_IS_NO_DATA_FOR_THE_CURRENT_PROFILE,I18NCode for There is no data for the current profile,There is no data for the current profile,Няма данни за текущия профил,Yes
I18N_TILL,I18NCode for Till,Till,до,Yes
I18N_TIME,I18NCode for Time in Kpi Correlation Page,Time,време,Yes
I18N_TIME_S_UP,I18NCode for Time's Up,Time's Up!,Времето изтече!,Yes
I18N_TO,I18NCode from To,To,до,Yes
I18N_TO_BELOW,"I18NCode for ""To Below""",To below,До долу,Yes
I18N_TO_GREEN,I18NCode for To Green,To Green,До Грийн,Yes
I18N_TO_GREEN_LABEL_INFO,I18NCode for To Green Label Info,month(s) to reach Green,месец(а) за достигане на Green,Yes
I18N_TO_RED,I18NCode for To Red,To Red,До Ред,Yes
I18N_TO_SCHEDULE,I18NCode To schedule,To Schedule,За да планирате,Yes
I18N_TO_SHOW,I18NCode for To Show,to display.,за показване.,Yes
I18N_TO_YELLOW,I18NCode for To Yellow,To Yellow,До Жълто,Yes
I18N_TOKEN_EXPIRED_MESSAGE,I18NCode for Token Expired Message,"<strong>Token Expired!</strong> Your activation Token has expired.
<br/>
Please request a new one to continue.",<strong>Токенът е изтекъл!</strong> Вашият токен за активиране е изтекъл.,Yes
I18N_TOOLS_TO_IMPROVE_PERFORMANCE,I18NCode for Tools to improve performance,Tools to improve performance,Инструменти за подобряване на производителността,Yes
I18N_TOP_3,I18NCode for Top3,Top 3,Топ 3,Yes
I18N_TOTAL,I18NCode for Total,Total,Общо,Yes
I18N_TOTAL_GROUPS,I18NCode for Total Groups,Total,Общо,Yes
I18N_TOTAL_MEMBERS,I18NCode for Total Members,Total members,Общо членове,Yes
I18N_TOTAL_NET_GROWTH,I18NCode for Total Net Growth,Total Net Growth,Общ нетен растеж,Yes
I18N_TOTAL_SPONSORS,I18NCode for Total Sponsors,Total Sponsors,Общо спонсори,Yes
I18N_TOTAL_TEAMS,I18NCode for Total Teams,Total teams,Общо отбори,Yes
I18N_TOTAL_TYFCB,I18NCode for Total TYFCB,Total,Общо,Yes
I18N_TRADUCAOTESTE,TraducaoTeste,teste,тесте,Yes
I18N_TRAFFIC_LIGHT_SYSTEM_LEADERSHIP_DESCRIPTION,I18NCode for Traffic Light System Leadership Description,Traffic light system for leadership,Светофарна система за лидерство,Yes
I18N_TRAFFIC_LIGHTS,I18NCode for Traffic Lights,Traffic Lights,Светофари,Yes
I18N_TRAFFIC_LIGHTS_CHAPTERS,I18NCode for Traffic Lights Chapters,Traffic Ligths / Chapters,Светофари / Глави,Yes
I18N_TRAFFIC_LIGHTS_COUNTRY_,I18NCode for TRAFFIC LIGHTS Country	,Traffic Lights Country,Страна на светофарите,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION,I18NCode for Traffic Lights Evolution,Traffic Lights Evolution,Еволюция на светофара,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_COUNTRY,I18NCode for Traffic Lights Evolution Country,Traffic Lights Evolution Country,Държава за развитие на светофари,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_REGION,I18NCode for Traffic Lights Evolution Region Menu,Traffic Lights Evolution Region,Регион на развитие на светофарите,Yes
I18N_TRAFFIC_LIGHTS_MEMBERS,I18NCode for Traffic Lights Members,Traffic Lights / Members,Светофари / Членове,Yes
I18N_TRAFFIC_LIGHTS_MULTIREGION,I18NCode for Traffic Lights MultiRegion,Traffic Lights MultiRegion,Светофари MultiRegion,Yes
I18N_TRAFFIC_LIGHTS_REGION,I18NCode for Traffic Lights Region,Traffic Lights Region,Район Светофар,Yes
I18N_TRAINING_ATTENDANCE,I18NCode for Training Attendance Chart,Training Attendance,Посещение на обучение,Yes
I18N_TRANSLATED,I18NCode for Translated,Translated,Преведено,Yes
I18N_TRANSLATION,I18NCode for Translation,Translation,Превод,Yes
I18N_TRANSLATION_INFORMATION_FOR,I18NCode for Translation Information For,Translation information for,Информация за превод за,Yes
I18N_TRANSLATIONS,I18NCodes for translations,Translations,Преводи,Yes
I18N_TRANSLATIONS_DESCRIPTION,I18NCode for translations description,Description,Описание,Yes
I18N_TRY_AGAIN,I18NCode for Try Again,Try again,Опитайте отново,Yes
I18N_TYFCB,Thank you for closing business,TYFCB,TYFCB,Yes
I18N_TYFCB_PER_MEMBER,I18NCode for TYFCB per Member,Per Member,На член,Yes
I18N_TYFCB_TOTAL,I18NCode for TYFCB total 12 meses,Total (12 months),Общо (12 месеца),Yes
I18N_TYPE,I18NCode for Type,Type,Тип,Yes
I18N_TYPE_OF_CONVERSATION,I18NCode for type of conversation,Chat type,Тип чат,Yes
I18N_TYPES_OF_COOKIES_USED,I18NCode for Types of cookies used,Types of cookies used,Types of cookies used,Yes
I18N_UNABLE_TO_PROCESS_YOUR_REQUEST,I18NCode for Unable To Process Your Request,Unable to process your request,Вашата заявка не може да бъде обработена,Yes
I18N_UP,I18NCode for Up,Up,нагоре,Yes
I18N_UPCOMING_RENEWALS,I18NCode for Upcoming Renewels page,Upcomming Renewals,Предстоящи подновявания,Yes
I18N_UPDATE,I18NCode update label header modal,Update,Актуализация,Yes
I18N_UPDATE_CONTEXT,Update context label header modal	,Update ,Актуализация,Yes
I18N_UPDATE_DATE_RANGE,"I18NCode for Update date range
",Update Date Range,Актуализирайте периода от време,Yes
I18N_UPDATE_LANGUAGE,Update languagelabel header modal,Update,Актуализация,Yes
I18N_UPDATE_MECHANISM,I18NCode for Update Mechanism,Update Mechanism,Актуализиран механизъм,Yes
I18N_UPDATE_MODULE,Update module label header modal	,Update,Актуализация,Yes
I18N_UPDATE_TRANSLATIONS,Update translations label header modal,Update,Актуализация,Yes
I18N_UPLOAD,I18NCode for Upload,Upload,Качване,Yes
I18N_UPLOAD_FILE_ERROR,I18NCode for Upload File Error in dropzone,File size greater than 5 MB,Размер на файла над 5 MB,Yes
I18N_UPLOAD_FILES_SIZE,I18NCode for Upload Files Size label,Upload up to 2 files,Качете до 2 файла,Yes
I18N_USAGES,I18NCode for Usages,Usages,Употреби,Yes
I18N_USE_8_OR_MORE_CHARACTERS_WITH_A_MIX_OF_LETTERS__NUMBERS___SYMBOLS_,"I18NCode for Use 8 or more characters with a mix of letters, numbers & symbols.
","Use 8 or more characters with a mix of letters, numbers & symbols.","Използвайте 8 или повече знака с комбинация от букви, цифри и символи.",Yes
I18N_USER,I18NCode for User,User,Потребител,Yes
I18N_USER_CREATED_SUCCESSFULLY,I18NCode for User Created Successfully,User created successfully! Please check your email to complete registration.,Потребителят е създаден успешно!,Yes
I18N_USER_DOES_NOT_EXIST,I18NCode for User Does Not Exist,User does not exist,Потребителят не съществува,Yes
I18N_USER_EMAIL_NOT_FOUND,I18NCode for User/Email not found,User/Email not found,Потребител/имейл не е намерен,Yes
I18N_USER_PROFILE,I18NCode for User Profile,User Profile,Потребителски профил,Yes
I18N_USERNAME,I18NCode for UserName,Username,Потребителско име,Yes
I18N_USERS,I18NCode for Users,Users,Потребители,Yes
I18N_VALUE,I18NCode for Value,Value,Стойност,Yes
I18N_VIS_W,I18NCode for VisW,Vis/W,Vis/W,Yes
I18N_VISI,I18NCode for Visi,Visi.,Visi.,Yes
I18N_VISION,I18NCode for Vision,Vision,Визия,Yes
I18N_VISITORS,I18NCode for Visitors,Visitors,Посетители,Yes
I18N_VISITS_12_MONTHS,I18NCode for Visits (12 months),Visitors (12 month),Посетители (12 месеца),Yes
I18N_VISITS_IS_REQUIRED,I18NCode for Visits is required,Visits is required,Посещенията са задължителни,Yes
I18N_VISITS_NOT_QUALIFIED,I18NCode for Visits not qualified,Visits not Qualified,Посещенията не са квалифицирани,Yes
I18N_VISITS_PER_WEEK__12_MONTHS_,I18NCode for Visits per Week (12 months),Visitors per Week (12 month),Посетители на седмица (12 месеца),Yes
I18N_VISNQ,I18NCode for VisNQ,VISNQ,VISNQ,Yes
I18N_WARNING,Warning!,Warning!,Внимание!,Yes
I18N_WARNING_ADD_TEAM,I18NCode for Warning Add team,You are adding a new team to the game.,Добавяте нов отбор към играта.,Yes
I18N_WARNING_MESSAGE,Warning message on I18NCode Update Modal,By editing the I18N Code you must remove the 'I18N' text and '_' between Words.,Чрез редактиране на кода I18N трябва да премахнете текста „I18N“ и „_“ между думите.,Yes
I18N_WARNING_MESSAGE_ADD_KPI,I18NCode for Warning Message Add Kpi,You are adding a new Kpi to the game.,Добавяте нов Kpi към играта.,Yes
I18N_WARNING_MESSAGE_AUTOMATIC_GENERATOR,I18NCode for Warning message Automatic Generator,You're automatically generating teams for the game. Auto-generating teams will remove all previous teams from the game.,Вие автоматично генерирате отбори за играта.,Yes
I18N_WARNING_MESSAGE_CHAPTER_GOAL,I18NCode for Warning Message Chapter Goal,"You are editing chapter objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Редактирате целите на глава, изчисленията са деактивирани, уверете се, че сте абсолютно сигурни, преди да продължите.",Yes
I18N_WARNING_MESSAGE_CONTEXT,Warning message on context Update Modal,"By editing the Context Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",Чрез редактиране на Тип контекст може да нарушите функционалността на системните разрешения.,Yes
I18N_WARNING_MESSAGE_COUNTRY_GOAL,I18NCode for Warning Message Country GOAL,"You are editing country objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Редактирате целите на държавата, изчисленията са деактивирани, уверете се, че сте абсолютно сигурни, преди да продължите.",Yes
I18N_WARNING_MESSAGE_DIRECTOR_GOAL,I18NCode for Warning Message on Modal Update Director goal menu,"You are editing director objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Редактирате целите на директора, изчисленията са деактивирани, уверете се, че сте абсолютно сигурни, преди да продължите.",Yes
I18N_WARNING_MESSAGE_EDIT_TEAM,I18NCode for Warning Message Edit Team,"You are editing a team, make sure you are absolutely sure before proceeding.","Редактирате екип, уверете се, че сте абсолютно сигурни, преди да продължите.",Yes
I18N_WARNING_MESSAGE_GROUP_MECHANISMS,I18NCode for Warning Message in Group Mechanisms Update Modal,"You are editing chapter mechanisms, make sure you are absolutely sure before proceeding.","Редактирате механизмите на главите, уверете се, че сте абсолютно сигурни, преди да продължите.",Yes
I18N_WARNING_MESSAGE_LANGUAGE,Warning message on language Update Modal,"By editing the Language translation, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",Чрез редактиране на езиковия превод може да нарушите функционалността на системните разрешения.,Yes
I18N_WARNING_MESSAGE_MEMBER_MECHANISMS,I18NCode for Warning Message Member Mechanisms,"You are editing member mechanisms, make sure you are absolutely sure before proceeding.","Редактирате механизмите на членовете, уверете се, че сте абсолютно сигурни, преди да продължите.",Yes
I18N_WARNING_MESSAGE_MENU,I18NCode for Warning Message on Menu,"By editing the permission Menu, you might break the system permissions functionality. Please ensure you're absolutely certain before  proceeding.",Чрез редактиране на менюто за разрешения може да нарушите функционалността на системните разрешения.,Yes
I18N_WARNING_MESSAGE_MODULE,Warning message on module Update Modal	,"By editing the Module Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",Чрез редактиране на типа на модула може да нарушите функционалността на системните разрешения.,Yes
I18N_WARNING_MESSAGE_MULTI_REGION_GOAL,I18NCode for I18NCode for Warning Message Multi Region GOAL,"You are editing multi region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.",Чрез редактиране на типа на модула може да нарушите функционалността на системните разрешения.,Yes
I18N_WARNING_MESSAGE_NO_GAMES,I18NCode for WARNING MESSAGE NO Games,Start by adding a bni game.,Започнете с добавяне на bni игра.,Yes
I18N_WARNING_MESSAGE_NO_KPI_ON_GAME,I18NCode for Warning Message No Kpi On Game,Start by adding a KPI to a game.,Започнете с добавяне на KPI към игра.,Yes
I18N_WARNING_MESSAGE_NO_TEAMS,I18NCode for Warning message No Teams,Start by creating Teams for your BNI Game.,Започнете със създаване на екипи за вашата BNI игра.,Yes
I18N_WARNING_MESSAGE_PROFILE,Warning message on Update Modal in Profile Page,"By editing the Context Type, you can break the system's permissions functionality. Make sure you are absolutely sure before proceeding.",Чрез редактиране на типа контекст можете да нарушите функционалността на разрешенията на системата.,Yes
I18N_WARNING_MESSAGE_REGION_GOAL,I18NCode for Warning message on Modal update region goal menu,"You are editing region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Редактирате регионални цели, изчисленията са деактивирани, уверете се, че сте абсолютно сигурни, преди да продължите.",Yes
I18N_WARNING_MESSAGE_TRANSLATION,Warning message on translation Update Modal,By editing the translation will update the description for the specific CodeI18N.,Чрез редактиране на превода ще се актуализира описанието за конкретния CodeI18N.,Yes
I18N_WCA_DESCRIPTION,I19NCode for WCA description,"This is a <strong>weekly report</strong> that usually is sent to each <strong>Leadership Team</strong> every Monday 9PM.<br/>

The goal is to give information that President (Chapter Director in England), Vice-President and Secretary/Treasurer usually needs to dig on several BNIConnect reports to run their role.<br/>

With this report, the President can easily select the meeting stimulant or his final words to the meeting.<br/>

The Vice-President can understand who needs special attention and work with his coordinators to improve member performance.<br/>

The Events Coordinator understands who is not attending training and needs special motivational speech to do it.","Това е <strong>седмичен отчет</strong>, който обикновено се изпраща до всеки <strong>Ръководен екип</strong> всеки понеделник в 21:00 часа.<br/>",Yes
I18N_WCA_WEEKLY_CHAPTER_ALERT_REPORT,I18NCode for WCA Weekly Chapter Alert Report,WCA - Weekly Chapter Alert Report,WCA - Седмичен доклад за предупреждение на глава,Yes
I18N_WE_NEED_YOU_TO_UPLOAD_A_PHOTO_OF_YOURSELF_,I18NCode for We need you to upload a photo of yourself.,We need you to upload a photo of yourself,Трябва да качите своя снимка,Yes
I18N_WE_NEED_YOUR_ATTENTION,I18NCode for We need your Attention,We need your attention,Имаме нужда от вашето внимание,Yes
I18N_WEBSITE,I18NCode for website,Website,уебсайт,Yes
I18N_WEEK_MEMBER_6AM,I18nCode for /week/member (6m),/week/member (6m),/седмица/член (6м),Yes
I18N_WEEKLY_ALERT_REPORTS_SETTINGS,I18NCode for Weekly Alert Reports Settings,Weekly Alert Reports Settings,Настройки за седмични отчети за предупреждения,Yes
I18N_WEEKS,I18NCode for Weeks,Weeks,седмици,Yes
I18N_WELCOME,Welcome message,Welcome,Добре дошли,Yes
I18N_WELCOME_TO_REPORTING2YOU_,I18NCode for Welcome to Reporting2You!,Welcome to Reporting2You,Добре дошли в Reporting2You,Yes
I18N_WELCOME_TO_THE_MESSAGING_CHAT,I18NCode for Welcome to the messaging chat,Welcome to the Messaging Chat,Добре дошли в чата за съобщения,Yes
I18N_WHAT_AREY_OUR_RIGHTS,I18NCode for What are your rights,What are your rights?,Какви са вашите права?,Yes
I18N_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for What information do we collect about you,What information do we collect about you?,Каква информация събираме за вас?,Yes
I18N_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,What is a Cookie?,Какво е бисквитка?,Yes
I18N_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,What is our legal basis for processing your personal data?,Какво е нашето правно основание за обработка на вашите лични данни?,Yes
I18N_WHO_ARE_WE,I18NCode for Who are we,Who we are?,кои сме ние,Yes
I18N_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,Who receives your information?,Кой получава вашата информация?,Yes
I18N_WITH_LESS_THAN,"I18NCode for ""With Less than""",With Less than,С По-малко от,Yes
I18N_WITH_THIS_MEMBERSHIP_LENGTH,I18NCode for With this Membership length,with this membership length,с тази продължителност на членството,Yes
I18N_WITHOUT,I18NCode for Without,Without,без,Yes
I18N_WITHOUT_PAYMENT,I18NCode for Without Payment,Without Payment,Без Плащане,Yes
I18N_WORLD_RANK,I18NCode for World Rank ,World Rank,Световен ранг,Yes
I18N_WRITE_A_MESSAGE,I18NCode for Write a message,Write a message,Напишете съобщение,Yes
I18N_WRITE_THE_MESSAGE_TO_SEND_TO_EVERYONE,I18NCode for Write the message to send to everyone,Write the message to send to everyone,"Напишете съобщението, което да изпратите на всички",Yes
I18N_WRONG_FILE_SELECTED,I18NCode for Wrong File Selected,Error selecting file.,Грешка при избора на файл.,Yes
I18N_YEAR,I18NCode for Year,Year,година,Yes
I18N_YEARMONTH,I18NCode for YearMonth,YearMonth,ГодинаМесец,Yes
I18N_YEARS,I18NCode for Years,Years,години,Yes
I18N_YES,I18NCode for Yes,Yes,да,Yes
I18N_YLW,I18NCode for #Ylw on table label,#Ylw,#Ylw,Yes
I18N_YOU_HAVE_BEEN_INVITED_TO_REGISTER_WITH_REPORTING2YOU_,I18NCode for You have been invited to register with Reporting2You.,You have been invited to register with Reporting2You.,Поканени сте да се регистрирате в Reporting2You.,Yes
I18N_YOU_HAVE_NO_SPONSORED,I18NCode for You have no sponsored,You have no sponsored,Нямаш спонсор,Yes
I18N_YOU_WILL_BE_REDIRECTED_TO_THE_LOGIN_PAGE_IN,I18NCode for You will be redirected to the login page in,You will be redirected to the login page in,Ще бъдете пренасочени към страницата за вход в,Yes
I18N_YOUR_CHAPTER,i18NCode for Your Chapter,Your Chapter,Вашата глава,Yes
I18N_YOUR_GOAL,I18NCode represent % of your goal,% of goal,% от целта,Yes
I18N_YOUR_SESSION_WILL_BE_INACTIVE_IN,I18NCode for Your session will be inactive in,Your session will be inactive in,Вашата сесия ще бъде неактивна в,Yes
I18N_ZERO_ONE_TO_ONES_PER_WEEK,I18NCode for ZeroOneToOne per Week,Zero one to ones per week,Нула едно към едно на седмица,Yes
