Code,Description,Default_Translation (en-en),Target_Translation (nl-nl),Has_Translation
I18N_REQUIRED_CODE,Required Code,I18n Codes names is required to be unique.,I18n Codes-namen moeten uniek zijn.,Yes
I18N_RES,I18NCode for Res,Res.,Res.,Yes
I18N_RESET,I18NCode for Reset,Reset,Opnieuw instellen,Yes
I18N_RESIZE_CHAPTER_IMAGE_,I18NCode for Resize Chapter Image ,Resize chapter image,Formaat van hoofdstukafbeelding wijzigen,Yes
I18N_RESIZE_PROFILE_PICTURE,I18NCode for Resize profile picture,Resize profile picture,Formaat profielfoto wijzigen,Yes
I18N_RESPONDING_TO,"I18NCode for Responding to
",Responding to,Reageren op,Yes
I18N_RESULT,I18NCode for Result,Result,Resultaat,Yes
I18N_RET,I18NCode for Ret,Ret.,Ret.,Yes
I18N_RET_1Y,I18NCode for Ret 1Y,Ret.1Y,Ret.1Y,Yes
I18N_RETAIN,I18NCode for Retain,Retain,Behouden,Yes
I18N_RETENTION,Retention,Retention,Behoud,Yes
I18N_RETENTION_IS_REQUIRED,I18NCode for Retention is required,Retention is required,Retentie is vereist,Yes
I18N_RETURN_TO_LIST,I18NCode for Return to list,Return to list,Terug naar lijst,Yes
I18N_RETURN_TO_LOGIN,I18NCode for Return to Login,Return to Login,Keer terug naar Inloggen,Yes
I18N_RETURN_TO_PREVIOUS_PAGE,I18NCode for Back to previous page,Return to previous page,Keer terug naar Inloggen,Yes
I18N_RG,I18NCode for RG,RG,RG,Yes
I18N_ROLE,I18NCode for Role,Role,Rol,Yes
I18N_RR,I18NCode for RR,RR,RR,Yes
I18N_S,I18NCode for S,S,S,Yes
I18N_SAVE,I18NCode for Save Button,Save,Redden,Yes
I18N_SAVED_FILES,I18NCode for Saved Files,Saved Files,Redden,Yes
I18N_SCHEDULED,I18NCode to scheduled,Scheduled,Gepland,Yes
I18N_SCHEDULED_DATE,I18NCode for Scheduled Date in Manage Tasks,Scheduled Date,Geplande datum,Yes
I18N_SEARCH,I18NCode for Search,Search,Zoekopdracht,Yes
I18N_SEARCH_BY,I18NCode for Search By label,Search by,Zoek op,Yes
I18N_SEARCH_BY_PROFESSION,I18NCode for Search By Profession,Search by Profession,Zoek op Beroep,Yes
I18N_SEARCH_CHAPTER,I18NCode for Search Chapter,Search Chapter,Hoofdstuk zoeken,Yes
I18N_SEARCH_CODEI18N,,Search Code I18N,Zoekcode I18N,Yes
I18N_SEARCH_CONTEXT,I18NCode for search context bar,Search context,Zoekcontext,Yes
I18N_SEARCH_COUNTRY,I18nCode for search country,Search Country,Zoek land,Yes
I18N_SEARCH_COUNTRY_LASTMONTH,I18NCode for Search Country Last Month,,,Yes
I18N_SEARCH_DIRECTOR,I18NCode for Search Director Bar,Search Director,Directeur zoeken,Yes
I18N_SEARCH_FOR_A_CONTACT_TO_START_A_CONVERSATION_,I18NCode for Search for a contact to start a conversation.,Find a contact to start a conversation. (Minimum 3 characters),Zoek een contact om een gesprek te beginnen.,Yes
I18N_SEARCH_LANGUAGE,I18NCode for search language bar,Search language,Zoektaal,Yes
I18N_SEARCH_MEMBER,I18NCode for Search Member/Chapter,Search Member,Zoek lid,Yes
I18N_SEARCH_MODULE,I18NCode for search module bar,Search module,Zoekmodule,Yes
I18N_SEARCH_PROFILES,I18NCode for Search in Profiles Page,Search Profiles,Zoek profielen,Yes
I18N_SEARCH_REGION,I18NCode for search region bar,Search Region,Zoek regio,Yes
I18N_SEARCH_TRANSLATION,I18NCode for search translation bar,Search translation,Zoek vertaling,Yes
I18N_SECONDS,I18NCode for seconds,seconds,seconden,Yes
I18N_SEE_ALL_CONVERSATIONS,"I18NCode for See all conversations
",See all conversations,Bekijk alle gesprekken,Yes
I18N_SELECT_A_CHAT_OR_CREATE_A_NEW_ONE,I18NCode for Select a chat or create a new one,Select a chat or create a new one,Selecteer een chat of maak een nieuwe,Yes
I18N_SELECT_A_LANGUAGE,I18NCode for Select a language,Select a language,Selecteer een taal,Yes
I18N_SELECT_AN_IMAGE_FIRST,I18NCode for Select an image First,Select an image first.,Selecteer eerst een afbeelding.,Yes
I18N_SELECT_CHAPTER,I18NCode for Select Chapter,Select a Chapter,Selecteer een hoofdstuk,Yes
I18N_SELECT_DIRECTOR,I18NCode for Select Director,Select a Director,Selecteer een regisseur,Yes
I18N_SELECT_IMAGE,I18NCode for Select Image,Select image,Selecteer afbeelding,Yes
I18N_SELECT_JUST_ONE_CONTACT,"I18NCode for Select just one contact
",Select just one contact,Selecteer slechts één contact,Yes
I18N_SELECT_KPI,I18NCode for Select Kpi,Select KPI,Selecteer KPI,Yes
I18N_SEND,I18NCode for Send,Send,Versturen,Yes
I18N_SEND_A_PRIVATE_MESSAGE_TO_MULTIPLE_RECIPIENTS_SIMULTANEOUSLY_WITH_THE_SAME_CONTENT,I18NCode for Send a private message to multiple recipients simultaneously with the same content.,Send a private message to multiple users simultaneously with the same content.,Stuur een privébericht naar meerdere gebruikers tegelijk met dezelfde inhoud.,Yes
I18N_SEND_BROADCAST,I18NCode for Send Broadcast,Send broadcast,Uitzending verzenden,Yes
I18N_SEND_EMAILS,I18NCode for Send Emails,Send Emails,E-mails verzenden,Yes
I18N_SENDING,I18NCode for Sending,Sending...,Verzenden...,Yes
I18N_SEPTEMBER,I18NCode for September,September,september,Yes
I18N_SETUP,I18NCode for Setup,Setup,Installatie,Yes
I18N_SETUPNEWPASSWORD,I18NCode for SetupNewPassword,Setup New Password,Nieuw wachtwoord instellen,Yes
I18N_SHARING_BUTTON_COOKIES,"I18NCode for Sharing button cookies
",Sharing button cookies,Knopcookies delen,Yes
I18N_SHORT_NAME,I18NCode for the short name	,ShortName,Korte naam,Yes
I18N_SHOW_ALL,I18NCode for Show All,Show all contact sphere,Toon alle contactsfeer,Yes
I18N_SHOW_MEMBER_ON_THEIR,I18NCode for Show Member On Their,Show Member On Their,Toon lid op hun,Yes
I18N_SHOW_MEMBERS_RENEWING_OVER_THE_NEXT,I18NCode for Show Members Renewing Over The Next,Show Members Renewing Over The Next,Toon leden die de volgende keer verlengen,Yes
I18N_SHOW_ONLY_CE,I18NCode for Show Only CE,Show only chapter contacts sphere ,Toon alleen de sfeer van hoofdstukcontacten,Yes
I18N_SIGN_IN,I18NCode for Sign in,Sign In,Inloggen,Yes
I18N_SIGN_OUT,I18NCode for Sign Out,Sign out,Meld u af,Yes
I18N_SIGN_UP,I18NCode for Sign Up,Sign Up,Aanmelden,Yes
I18N_SINCE,I18NCode for Since,Since,Sinds,Yes
I18N_SIZE_GRAPH,I18NCode for Size on Graph,Size,Maat,Yes
I18N_SIZE_IS_REQUIRED,I18NCode for Size is required,Size is required,Maat is vereist,Yes
I18N_SOURCE,I18NCode for Source,Source,Bron,Yes
I18N_SPONS,I18NCode for Spons,Spons,Spons,Yes
I18N_SPONSOR_MODAL_TITTLE,I18NCode for SPONSOR Modal TIttle,List of Sponsored by,Lijst van gesponsord door,Yes
I18N_SPONSOR_SINCE,I18NCode for Sponsor since,Sponsor since,Sponsor sinds,Yes
I18N_SPONSORED,I18NCode for Sponsored,Sponsored,Gesponsord,Yes
I18N_SPONSORED_CHAPTER_,I18NCode for Sponsored Chapter	,Sponsored Chapter,Gesponsord hoofdstuk,Yes
I18N_SPONSORED_REGION_,I18NCode for Sponsored Region,Sponsored Region,Gesponsorde regio,Yes
I18N_START_ACTIVE_CHAPTERS,I18NCode for Start Active Chapters,Start Active Chapter,Start actief hoofdstuk,Yes
I18N_START_ACTIVE_MEMBERS,I18NCode for Start Active Members,Start Active Members,Start actieve leden,Yes
I18N_START_DATE,I18NCode for Start Date,Start Date,Startdatum,Yes
I18N_START_DATE_IS_REQUIRED,I18NCode for Start date is required,Start date é obrigatória,Startdatum is verplicht,Yes
I18N_START_MONITORING,I18NCode for Start Monitoring,Start Monitoring,Beginnen met monitoren,Yes
I18N_START_RETENTION,I18NCode for Start Retention,Start Retention,Begin met bewaren,Yes
I18N_START_VALUES,I18NCode for Start Values,Current Values,Huidige waarden,Yes
I18N_STARTS_PROCESS,"I18NCode for ""Starts Process""",starts process,begint proces,Yes
I18N_STATUS,I18NCode for status label,Status,Status,Yes
I18N_STAY_ACTIVE,I18NCode for Stay Active,Stay active,Blijf actief,Yes
I18N_SUBJECT,I18NCode for Subject,Subject,Onderwerp,Yes
I18N_SUBMIT,I18NCode for the submit button,Submit,Indienen,Yes
I18N_SUBMIT_CHAT_MODAL,I18NCode for Submit Chat Modal,You just created a chat.,Je hebt zojuist een chat aangemaakt.,Yes
I18N_SUBMIT_CONFIRM_BUTTON,I18NCode for Submit Confirm Button,"Ok, got it!",Je hebt zojuist een chat aangemaakt.,Yes
I18N_SUBMIT_GOALS_WARNING_TEXT,I18NCode for Submit Goals Warning Text,Unable to create goal because one already exists in that date range,Kan geen doel maken omdat er al een bestaat in dat datumbereik,Yes
I18N_SUBMIT_MODAL,I18NCode for Submit Modal Text,Form has been successfully submitted!,Formulier is succesvol verzonden!,Yes
I18N_SUBMIT_WARNING_TEXT,I18NCode for Submit Warning Text,"Sorry, looks like there are some errors detected, please try again.","Sorry, het lijkt erop dat er enkele fouten zijn gedetecteerd. Probeer het opnieuw.",Yes
I18N_SUBSTITUTIONS,I18NCode for SUBSTITUTIONS,Substitutions,Vervangingen,Yes
I18N_SUCCESS,I18NCode for Success,Success,Succes,Yes
I18N_SUSPENDED,I18NCode for Suspended,Suspended,Opgeschort,Yes
I18N_SUSPENDED_CHAPTERS,I18NCode for Suspended Chapters,Suspended Chapters,Opgeschorte hoofdstukken,Yes
I18N_SUSPENDED_MEMBERS,I18NCode for Suspended Members,Suspended Members,Geschorste Leden,Yes
I18N_SUSPENDED_MULTI,I18NCode for Suspended in Multi,Suspended,Opgeschort,Yes
I18N_SWITCH_TO,I18NCode for SWITCH TO,Switch to ,Schakel over naar,Yes
I18N_SYSTEM_ERROR,I18NCode for System Error,System Error,Systeemfout,Yes
I18N_TASK,I18NCode for Task,Tasks,Taken,Yes
I18N_TASK_TYPE,I18NCode for Task Type,Task Type,Taaktype,Yes
I18N_TASKS_FOR_FALLING_MEMBERS,I18NCode for Tasks for Falling Members,Tasks for Falling Members,Taken voor vallende leden,Yes
I18N_TASKS_FOR_FALLING_MEMBERS_DESCRIPTION,I18NCode for Tasks for Falling Members Description,Activate tasks for falling members,Activeer taken voor vallende leden,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING,I18NCode for Tasks for Members Renewing,Tasks for Members Renewing,Taken voor leden die vernieuwen,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING_DESCRIPTION,I18NCode for Tasks For Members Renewing Description,Activate tasks for members renewal,Activeer taken voor ledenvernieuwing,Yes
I18N_TASKSTATUS,I18NCode for #TaskStatus in edit task modal,Task Status,Taakstatus,Yes
I18N_TEAM,I18NCode for Team,Team,Team,Yes
I18N_TEAM_INFORMATION,I18NCode for Team information,Team Information,Teaminformatie,Yes
I18N_TEAM_MEMBER,I18NCode for Team Member,Team Member,Teamlid,Yes
I18N_TEAM_MEMBERS,I18NCode for Team Members,Team Members,Teamleden,Yes
I18N_TEAM_WORK,I18NCode for Team Work,Team Work,Teamwerk,Yes
I18N_TEAMS,I18NCode for Teams,Teams,Teams,Yes
I18N_TELEPHONE_CONTACT,I18NCode for Telephone Contact,Telephone Contact,Telefonisch contact,Yes
I18N_TEST,I18NCode for Test,Test,Test,Yes
I18N_TESTIMONY,I18NCode for Testimony,Testimony,Getuigenis,Yes
I18N_THAN_PREVIOUS_MONTH,I18NCode for Than Previous Month,Than previous Month,Dan vorige maand,Yes
I18N_THANK_YOU_FOR_CLOSING_BUSINESS,I18NCode for THANK YOU FOR CLOSING BUSINESS,Thank you for closing business,Bedankt voor het sluiten van de zaak,Yes
I18N_THE_CHAT_WAS_NOT_DELETED_,I18NCode for The chat was not deleted!,The chat was not deleted!,De chat is niet verwijderd!,Yes
I18N_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,"I18NCode for The cookies necessary for navigation on the site
",The cookies necessary for navigation on the site,De cookies die nodig zijn voor navigatie op de site,Yes
I18N_THE_EXPIRATION_DATE_AND_TIME_MUST_BE_LATER_THAN_THE_CURRENT_DATE_,I18NCode for The expiration date and time must be later than the current date.,The expiration date and time must be later than the current date.,De vervaldatum en -tijd moeten later zijn dan de huidige datum.,Yes
I18N_THE_POLL_MUST_HAVE_AT_LEAST_2_VALID_OPTIONS_,I18NCode for The poll must have at least 2 valid options.,The poll must have at least 2 valid options.,De poll moet minimaal twee geldige opties bevatten.,Yes
I18N_THE_QUESTION_IS_MANDATORY,I18NCode for The question is mandatory,The question is mandatory.,De vraag is verplicht.,Yes
I18N_THE_REGION,I18NCode for The Region,The Region,De regio,Yes
I18N_THE_REGION_IN_NUMBERS,I18NCode for The Region in Numbers,The Region in Numbers,De regio in cijfers,Yes
I18N_THE_TEAM,I18NCode for The Team,The Team,Het team,Yes
I18N_THE_TOKEN_PROVIDED_IS_INVALID_OR_HAS_EXPIRED,I18NCode for Invalid Or Expired Token,The token provided is invalid or has expired,Het opgegeven token is ongeldig of verlopen,Yes
I18N_THERE_ARE_NO_USERS_FROM_THIS_REGION,I18NCode for There are no users from this region,There are no users from this region,Er zijn geen gebruikers uit deze regio,Yes
I18N_THERE_IS_NO_DATA_FOR_THE_CURRENT_PROFILE,I18NCode for There is no data for the current profile,There is no data for the current profile,Er zijn geen gegevens voor het huidige profiel,Yes
I18N_TILL,I18NCode for Till,Till,Tot,Yes
I18N_TIME,I18NCode for Time in Kpi Correlation Page,Time,Tijd,Yes
I18N_TIME_S_UP,I18NCode for Time's Up,Time's Up!,De tijd is om!,Yes
I18N_TO,I18NCode from To,To,Naar,Yes
I18N_TO_BELOW,"I18NCode for ""To Below""",To below,Naar beneden,Yes
I18N_TO_GREEN,I18NCode for To Green,To Green,Naar Groen,Yes
I18N_TO_GREEN_LABEL_INFO,I18NCode for To Green Label Info,month(s) to reach Green,maand(en) om Green te bereiken,Yes
I18N_TO_RED,I18NCode for To Red,To Red,Naar Rood,Yes
I18N_TO_SCHEDULE,I18NCode To schedule,To Schedule,Naar schema,Yes
I18N_TO_SHOW,I18NCode for To Show,to display.,weergeven.,Yes
I18N_TO_YELLOW,I18NCode for To Yellow,To Yellow,Naar Geel,Yes
I18N_TOKEN_EXPIRED_MESSAGE,I18NCode for Token Expired Message,"<strong>Token Expired!</strong> Your activation Token has expired.
<br/>
Please request a new one to continue.",<strong>Token verlopen!</strong> Uw activeringstoken is verlopen.,Yes
I18N_TOOLS_TO_IMPROVE_PERFORMANCE,I18NCode for Tools to improve performance,Tools to improve performance,Hulpmiddelen om de prestaties te verbeteren,Yes
I18N_TOP_3,I18NCode for Top3,Top 3,Bovenste 3,Yes
I18N_TOTAL,I18NCode for Total,Total,Totaal,Yes
I18N_TOTAL_GROUPS,I18NCode for Total Groups,Total,Totaal,Yes
I18N_TOTAL_MEMBERS,I18NCode for Total Members,Total members,Totaal aantal leden,Yes
I18N_TOTAL_NET_GROWTH,I18NCode for Total Net Growth,Total Net Growth,Totale nettogroei,Yes
I18N_TOTAL_SPONSORS,I18NCode for Total Sponsors,Total Sponsors,Totaal sponsors,Yes
I18N_TOTAL_TEAMS,I18NCode for Total Teams,Total teams,Totaal teams,Yes
I18N_TOTAL_TYFCB,I18NCode for Total TYFCB,Total,Totaal,Yes
I18N_TRADUCAOTESTE,TraducaoTeste,teste,test,Yes
I18N_TRAFFIC_LIGHT_SYSTEM_LEADERSHIP_DESCRIPTION,I18NCode for Traffic Light System Leadership Description,Traffic light system for leadership,Verkeerslichtsysteem voor leiderschap,Yes
I18N_TRAFFIC_LIGHTS,I18NCode for Traffic Lights,Traffic Lights,Verkeerslichten,Yes
I18N_TRAFFIC_LIGHTS_CHAPTERS,I18NCode for Traffic Lights Chapters,Traffic Ligths / Chapters,Verkeerslichten / hoofdstukken,Yes
I18N_TRAFFIC_LIGHTS_COUNTRY_,I18NCode for TRAFFIC LIGHTS Country	,Traffic Lights Country,Verkeerslichten land,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION,I18NCode for Traffic Lights Evolution,Traffic Lights Evolution,Evolutie van verkeerslichten,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_COUNTRY,I18NCode for Traffic Lights Evolution Country,Traffic Lights Evolution Country,Verkeerslichten Evolutieland,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_REGION,I18NCode for Traffic Lights Evolution Region Menu,Traffic Lights Evolution Region,Verkeerslichten Evolutie Regio,Yes
I18N_TRAFFIC_LIGHTS_MEMBERS,I18NCode for Traffic Lights Members,Traffic Lights / Members,Verkeerslichten / Leden,Yes
I18N_TRAFFIC_LIGHTS_MULTIREGION,I18NCode for Traffic Lights MultiRegion,Traffic Lights MultiRegion,Verkeerslichten MultiRegion,Yes
I18N_TRAFFIC_LIGHTS_REGION,I18NCode for Traffic Lights Region,Traffic Lights Region,Verkeerslichtenregio,Yes
I18N_TRAINING_ATTENDANCE,I18NCode for Training Attendance Chart,Training Attendance,Deelname aan trainingen,Yes
I18N_TRANSLATED,I18NCode for Translated,Translated,Vertaald,Yes
I18N_TRANSLATION,I18NCode for Translation,Translation,Vertaling,Yes
I18N_TRANSLATION_INFORMATION_FOR,I18NCode for Translation Information For,Translation information for,Vertaalinformatie voor,Yes
I18N_TRANSLATIONS,I18NCodes for translations,Translations,Vertalingen,Yes
I18N_TRANSLATIONS_DESCRIPTION,I18NCode for translations description,Description,Beschrijving,Yes
I18N_TRY_AGAIN,I18NCode for Try Again,Try again,Probeer het opnieuw,Yes
I18N_TYFCB,Thank you for closing business,TYFCB,TYFCB,Yes
I18N_TYFCB_PER_MEMBER,I18NCode for TYFCB per Member,Per Member,Per lid,Yes
I18N_TYFCB_TOTAL,I18NCode for TYFCB total 12 meses,Total (12 months),Totaal (12 maanden),Yes
I18N_TYPE,I18NCode for Type,Type,Type,Yes
I18N_TYPE_OF_CONVERSATION,I18NCode for type of conversation,Chat type,Chattype,Yes
I18N_TYPES_OF_COOKIES_USED,I18NCode for Types of cookies used,Types of cookies used,Soorten cookies die worden gebruikt,Yes
I18N_UNABLE_TO_PROCESS_YOUR_REQUEST,I18NCode for Unable To Process Your Request,Unable to process your request,Kan uw verzoek niet verwerken,Yes
I18N_UP,I18NCode for Up,Up,Omhoog,Yes
I18N_UPCOMING_RENEWALS,I18NCode for Upcoming Renewels page,Upcomming Renewals,Aankomende verlengingen,Yes
I18N_UPDATE,I18NCode update label header modal,Update,Update,Yes
I18N_UPDATE_CONTEXT,Update context label header modal	,Update ,Update,Yes
I18N_UPDATE_DATE_RANGE,"I18NCode for Update date range
",Update Date Range,Datumbereik bijwerken,Yes
I18N_UPDATE_LANGUAGE,Update languagelabel header modal,Update,Update,Yes
I18N_UPDATE_MECHANISM,I18NCode for Update Mechanism,Update Mechanism,Updatemechanisme,Yes
I18N_UPDATE_MODULE,Update module label header modal	,Update,Update,Yes
I18N_UPDATE_TRANSLATIONS,Update translations label header modal,Update,Update,Yes
I18N_UPLOAD,I18NCode for Upload,Upload,Uploaden,Yes
I18N_UPLOAD_FILE_ERROR,I18NCode for Upload File Error in dropzone,File size greater than 5 MB,Bestandsgrootte groter dan 5 MB,Yes
I18N_UPLOAD_FILES_SIZE,I18NCode for Upload Files Size label,Upload up to 2 files,Upload maximaal 2 bestanden,Yes
I18N_USAGES,I18NCode for Usages,Usages,Gebruik,Yes
I18N_USE_8_OR_MORE_CHARACTERS_WITH_A_MIX_OF_LETTERS__NUMBERS___SYMBOLS_,"I18NCode for Use 8 or more characters with a mix of letters, numbers & symbols.
","Use 8 or more characters with a mix of letters, numbers & symbols.","Gebruik 8 of meer tekens met een combinatie van letters, cijfers en symbolen.",Yes
I18N_USER,I18NCode for User,User,Gebruiker,Yes
I18N_USER_CREATED_SUCCESSFULLY,I18NCode for User Created Successfully,User created successfully! Please check your email to complete registration.,Gebruiker succesvol aangemaakt!,Yes
I18N_USER_DOES_NOT_EXIST,I18NCode for User Does Not Exist,User does not exist,Gebruiker bestaat niet,Yes
I18N_USER_EMAIL_NOT_FOUND,I18NCode for User/Email not found,User/Email not found,Gebruiker/e-mailadres niet gevonden,Yes
I18N_USER_PROFILE,I18NCode for User Profile,User Profile,Gebruikersprofiel,Yes
I18N_USERNAME,I18NCode for UserName,Username,Gebruikersnaam,Yes
I18N_USERS,I18NCode for Users,Users,Gebruikers,Yes
I18N_VALUE,I18NCode for Value,Value,Waarde,Yes
I18N_VIS_W,I18NCode for VisW,Vis/W,Waarde,Yes
I18N_VISI,I18NCode for Visi,Visi.,Vis.,Yes
I18N_VISION,I18NCode for Vision,Vision,Visie,Yes
I18N_VISITORS,I18NCode for Visitors,Visitors,Bezoekers,Yes
I18N_VISITS_12_MONTHS,I18NCode for Visits (12 months),Visitors (12 month),Bezoekers (12 maanden),Yes
I18N_VISITS_IS_REQUIRED,I18NCode for Visits is required,Visits is required,Bezoeken zijn vereist,Yes
I18N_VISITS_NOT_QUALIFIED,I18NCode for Visits not qualified,Visits not Qualified,Bezoeken niet gekwalificeerd,Yes
I18N_VISITS_PER_WEEK__12_MONTHS_,I18NCode for Visits per Week (12 months),Visitors per Week (12 month),Bezoekers per week (12 maanden),Yes
I18N_VISNQ,I18NCode for VisNQ,VISNQ,VISNQ,Yes
I18N_WARNING,Warning!,Warning!,Waarschuwing!,Yes
I18N_WARNING_ADD_TEAM,I18NCode for Warning Add team,You are adding a new team to the game.,Je voegt een nieuw team toe aan het spel.,Yes
I18N_WARNING_MESSAGE,Warning message on I18NCode Update Modal,By editing the I18N Code you must remove the 'I18N' text and '_' between Words.,"Door de I18N-code te bewerken, moet u de tekst 'I18N' en de '_' tussen woorden verwijderen.",Yes
I18N_WARNING_MESSAGE_ADD_KPI,I18NCode for Warning Message Add Kpi,You are adding a new Kpi to the game.,Je voegt een nieuwe Kpi toe aan het spel.,Yes
I18N_WARNING_MESSAGE_AUTOMATIC_GENERATOR,I18NCode for Warning message Automatic Generator,You're automatically generating teams for the game. Auto-generating teams will remove all previous teams from the game.,Je genereert automatisch teams voor de game.,Yes
I18N_WARNING_MESSAGE_CHAPTER_GOAL,I18NCode for Warning Message Chapter Goal,"You are editing chapter objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","U bewerkt de hoofdstukdoelstellingen, berekeningen zijn uitgeschakeld. Zorg ervoor dat u er absoluut zeker van bent voordat u verdergaat.",Yes
I18N_WARNING_MESSAGE_CONTEXT,Warning message on context Update Modal,"By editing the Context Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.","Door het Contexttype te bewerken, verbreekt u mogelijk de functionaliteit van de systeemmachtigingen.",Yes
I18N_WARNING_MESSAGE_COUNTRY_GOAL,I18NCode for Warning Message Country GOAL,"You are editing country objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","U bewerkt de landdoelstellingen, berekeningen zijn uitgeschakeld. Zorg ervoor dat u er absoluut zeker van bent voordat u verdergaat.",Yes
I18N_WARNING_MESSAGE_DIRECTOR_GOAL,I18NCode for Warning Message on Modal Update Director goal menu,"You are editing director objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","U bewerkt de doelstellingen van de regisseur, berekeningen zijn uitgeschakeld. Zorg ervoor dat u er absoluut zeker van bent voordat u verdergaat.",Yes
I18N_WARNING_MESSAGE_EDIT_TEAM,I18NCode for Warning Message Edit Team,"You are editing a team, make sure you are absolutely sure before proceeding.","U bewerkt een team, zorg ervoor dat u er absoluut zeker van bent voordat u verdergaat.",Yes
I18N_WARNING_MESSAGE_GROUP_MECHANISMS,I18NCode for Warning Message in Group Mechanisms Update Modal,"You are editing chapter mechanisms, make sure you are absolutely sure before proceeding.",U bewerkt hoofdstukmechanismen. Zorg ervoor dat u er absoluut zeker van bent voordat u verdergaat.,Yes
I18N_WARNING_MESSAGE_LANGUAGE,Warning message on language Update Modal,"By editing the Language translation, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.","Door de taalvertaling te bewerken, verbreekt u mogelijk de functionaliteit van de systeemmachtigingen.",Yes
I18N_WARNING_MESSAGE_MEMBER_MECHANISMS,I18NCode for Warning Message Member Mechanisms,"You are editing member mechanisms, make sure you are absolutely sure before proceeding.",U bewerkt lidmechanismen. Zorg ervoor dat u er absoluut zeker van bent voordat u doorgaat.,Yes
I18N_WARNING_MESSAGE_MENU,I18NCode for Warning Message on Menu,"By editing the permission Menu, you might break the system permissions functionality. Please ensure you're absolutely certain before  proceeding.","Door het machtigingsmenu te bewerken, kunt u de functionaliteit van de systeemmachtigingen verbreken.",Yes
I18N_WARNING_MESSAGE_MODULE,Warning message on module Update Modal	,"By editing the Module Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.","Door het moduletype te bewerken, verbreekt u mogelijk de functionaliteit van de systeemmachtigingen.",Yes
I18N_WARNING_MESSAGE_MULTI_REGION_GOAL,I18NCode for I18NCode for Warning Message Multi Region GOAL,"You are editing multi region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.",U bewerkt doelstellingen voor meerdere regio's. Berekeningen zijn uitgeschakeld. Zorg ervoor dat u er absoluut zeker van bent voordat u doorgaat.,Yes
I18N_WARNING_MESSAGE_NO_GAMES,I18NCode for WARNING MESSAGE NO Games,Start by adding a bni game.,Begin met het toevoegen van een bni-spel.,Yes
I18N_WARNING_MESSAGE_NO_KPI_ON_GAME,I18NCode for Warning Message No Kpi On Game,Start by adding a KPI to a game.,Begin met het toevoegen van een KPI aan een game.,Yes
I18N_WARNING_MESSAGE_NO_TEAMS,I18NCode for Warning message No Teams,Start by creating Teams for your BNI Game.,Begin met het maken van Teams voor uw BNI Game.,Yes
I18N_WARNING_MESSAGE_PROFILE,Warning message on Update Modal in Profile Page,"By editing the Context Type, you can break the system's permissions functionality. Make sure you are absolutely sure before proceeding.","Door het contexttype te bewerken, kunt u de machtigingsfunctionaliteit van het systeem verbreken.",Yes
I18N_WARNING_MESSAGE_REGION_GOAL,I18NCode for Warning message on Modal update region goal menu,"You are editing region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","U bewerkt regiodoelstellingen, berekeningen zijn uitgeschakeld. Zorg ervoor dat u er absoluut zeker van bent voordat u verdergaat.",Yes
I18N_WARNING_MESSAGE_TRANSLATION,Warning message on translation Update Modal,By editing the translation will update the description for the specific CodeI18N.,"Door de vertaling te bewerken, wordt de beschrijving voor de specifieke CodeI18N bijgewerkt.",Yes
I18N_WCA_DESCRIPTION,I19NCode for WCA description,"This is a <strong>weekly report</strong> that usually is sent to each <strong>Leadership Team</strong> every Monday 9PM.<br/>

The goal is to give information that President (Chapter Director in England), Vice-President and Secretary/Treasurer usually needs to dig on several BNIConnect reports to run their role.<br/>

With this report, the President can easily select the meeting stimulant or his final words to the meeting.<br/>

The Vice-President can understand who needs special attention and work with his coordinators to improve member performance.<br/>

The Events Coordinator understands who is not attending training and needs special motivational speech to do it.",Dit is een <strong>wekelijks rapport</strong> dat doorgaans elke maandag om 21.00 uur naar elk <strong>Leiderschapsteam</strong> wordt verzonden.<br/>,Yes
I18N_WCA_WEEKLY_CHAPTER_ALERT_REPORT,I18NCode for WCA Weekly Chapter Alert Report,WCA - Weekly Chapter Alert Report,WCA - Wekelijks hoofdstukwaarschuwingsrapport,Yes
I18N_WE_NEED_YOU_TO_UPLOAD_A_PHOTO_OF_YOURSELF_,I18NCode for We need you to upload a photo of yourself.,We need you to upload a photo of yourself,We hebben je nodig om een foto van jezelf te uploaden,Yes
I18N_WE_NEED_YOUR_ATTENTION,I18NCode for We need your Attention,We need your attention,Wij hebben uw aandacht nodig,Yes
I18N_WEBSITE,I18NCode for website,Website,Website,Yes
I18N_WEEK_MEMBER_6AM,I18nCode for /week/member (6m),/week/member (6m),/week/lid (6m),Yes
